Season,Matchday,Home Team,Score,Away Team
2004,1,Shelbourne,1-1,UCD
2004,1,Bray Wanderers,2-1,St. Pat's
2004,1,Bohemians,1-1,Shamrock Rovers
2004,1,Drogheda United,0-2,Derry City
2004,1,Finn Harps,0-2,Cork City
2004,1,Longford Town,1-2,Waterford Utd
2004,2,St. Pat's,0-0,Bohemians
2004,2,UCD,0-2,Drogheda United
2004,2,Cork City,1-1,Bray Wanderers
2004,2,Shamrock Rovers,0-2,Shelbourne
2004,2,Waterford Utd,2-1,Finn Harps
2004,2,Derry City,1-0,Longford Town
2004,3,Finn Harps,1-1,Shamrock Rovers
2004,3,Shelbourne,1-0,Waterford Utd
2004,3,Bohemians,0-1,Derry City
2004,3,Bray Wanderers,1-0,UCD
2004,3,Longford Town,0-1,Cork City
2004,3,Drogheda United,1-1,St. Pat's
2004,4,Shamrock Rovers,0-2,Longford Town
2004,4,Bray Wanderers,2-2,Drogheda United
2004,4,St. Pat's,2-0,Finn Harps
2004,4,Cork City,0-0,UCD
2004,4,Waterford Utd,2-0,Bohemians
2004,4,Derry City,0-0,Shelbourne
2004,5,Shelbourne,3-1,St. Pat's
2004,5,Longford Town,2-1,Bray Wanderers
2004,5,Drogheda United,2-1,Shamrock Rovers
2004,5,Finn Harps,0-2,Derry City
2004,5,Bohemians,0-2,Cork City
2004,5,UCD,1-0,Waterford Utd
2004,6,Longford Town,0-2,Shelbourne
2004,6,Cork City,0-1,Drogheda United
2004,6,Derry City,2-3,Shamrock Rovers
2004,6,Bohemians,1-0,Finn Harps
2004,6,St. Pat's,3-2,UCD
2004,6,Bray Wanderers,2-1,Waterford Utd
2004,7,Shamrock Rovers,1-3,Cork City
2004,7,Finn Harps,0-0,Longford Town
2004,7,Shelbourne,4-1,Bray Wanderers
2004,7,Waterford Utd,1-0,St. Pat's
2004,7,Drogheda United,2-2,Bohemians
2004,7,UCD,1-0,Derry City
2004,8,Shelbourne,3-0,Finn Harps
2004,8,Derry City,1-0,Waterford Utd
