Season,Matchday,Home Team,Score,Away Team
2000,1,Dundalk FC,1-1,UCD
2000,1,Bohemians,1-0,Derry City
2000,1,St. Pat's,3-0,Galway United
2000,1,Longford Town,4-1,Cork City
2000,1,Bray Wanderers,1-1,Shamrock Rovers
2000,1,Monaghan United,0-1,Shelbourne
2000,2,UCD,1-0,Longford Town
2000,2,Derry City,2-0,Monaghan United
2000,2,Shelbourne,1-1,St. Pat's
2000,2,Galway United,0-2,Bray Wanderers
2000,2,Cork City,0-1,Bohemians
2000,2,Shamrock Rovers,1-0,Dundalk FC
2000,3,Longford Town,1-2,Shamrock Rovers
2000,3,Dundalk FC,1-1,Shelbourne
2000,3,Monaghan United,0-0,Galway United
2000,3,St. Pat's,1-0,Derry City
2000,3,Bray Wanderers,2-2,Cork City
2000,3,Bohemians,6-0,UCD
2000,4,UCD,0-0,St. Pat's
2000,4,Derry City,3-1,Bray Wanderers
2000,4,Shelbourne,2-0,Longford Town
2000,4,Galway United,1-5,Bohemians
2000,4,Cork City,0-1,Dundalk FC
2000,4,Shamrock Rovers,4-0,Monaghan United
2000,5,Bray Wanderers,0-3,Shelbourne
2000,5,Monaghan United,1-4,UCD
2000,5,Longford Town,1-0,Derry City
2000,5,St. Pat's,1-3,Cork City
2000,5,Dundalk FC,1-1,Galway United
2000,5,Bohemians,0-1,Shamrock Rovers
2000,6,UCD,1-2,Galway United
2000,6,Derry City,2-0,Shamrock Rovers
2000,6,St. Pat's,2-0,Bray Wanderers
2000,6,Bohemians,3-0,Monaghan United
2000,6,Longford Town,2-2,Dundalk FC
2000,6,Cork City,1-0,Shelbourne
2000,7,Shelbourne,1-1,Derry City
2000,7,Bray Wanderers,5-1,Longford Town
2000,7,Galway United,1-2,Cork City
2000,7,Monaghan United,1-2,St. Pat's
2000,7,Shamrock Rovers,3-1,UCD
2000,7,Dundalk FC,3-1,Bohemians
2000,8,Longford Town,1-1,Monaghan United
2000,8,Derry City,1-1,UCD
2000,8,St. Pat's,1-1,Bohemians
2000,8,Shelbourne,3-0,Galway United
2000,8,Bray Wanderers,5-1,Dundalk FC
2000,8,Cork City,2-1,Shamrock Rovers
2000,9,Galway United,0-1,Derry City
2000,9,Shamrock Rovers,3-0,Shelbourne
2000,9,Bohemians,1-1,Longford Town
2000,9,Monaghan United,1-1,Bray Wanderers
2000,9,UCD,1-1,Cork City
2000,9,Dundalk FC,0-2,St. Pat's
2000,10,Dundalk FC,1-0,Derry City
2000,10,Galway United,1-1,Longford Town
2000,10,Cork City,2-0,Monaghan United
2000,10,St. Pat's,2-1,Shamrock Rovers
2000,10,Bray Wanderers,0-0,Bohemians
2000,10,Shelbourne,0-1,UCD
2000,11,Shamrock Rovers,3-0,Galway United
2000,11,Longford Town,3-3,St. Pat's
2000,11,Monaghan United,1-0,Dundalk FC
