Season,Matchday,Home Team,Score,Away Team
1996,1,St. Pat's,0-0,Derry City
1996,1,Finn Harps,2-0,Drogheda United
1996,1,Sligo Rovers,2-2,Bohemians
1996,1,Cork City,3-0,Dundalk FC
1996,1,UCD,0-3,Shamrock Rovers
1996,1,Shelbourne,2-1,Kilkenny City
1996,2,Dundalk FC,1-1,UCD
1996,2,Bohemians,4-2,Finn Harps
1996,2,Drogheda United,1-3,St. Pat's
1996,2,Kilkenny City,0-2,Cork City
1996,2,Shamrock Rovers,1-1,Sligo Rovers
1996,2,Derry City,2-2,Shelbourne
1996,3,UCD,1-2,Kilkenny City
1996,3,Cork City,2-0,Derry City
1996,3,Finn Harps,1-2,St. Pat's
1996,3,Sligo Rovers,3-3,Dundalk FC
1996,3,Bohemians,1-1,Shamrock Rovers
1996,3,Shelbourne,5-0,Drogheda United
1996,4,Dundalk FC,2-2,Bohemians
1996,4,St. Pat's,2-3,Shelbourne
1996,4,Derry City,1-1,UCD
1996,4,Kilkenny City,0-1,Sligo Rovers
1996,4,Drogheda United,1-2,Cork City
1996,4,Shamrock Rovers,2-1,Finn Harps
1996,5,Cork City,0-1,St. Pat's
1996,5,UCD,3-0,Drogheda United
1996,5,Finn Harps,3-1,Shelbourne
1996,5,Shamrock Rovers,1-2,Dundalk FC
1996,5,Bohemians,8-1,Kilkenny City
1996,5,Sligo Rovers,3-0,Derry City
1996,6,Dundalk FC,2-0,Finn Harps
1996,6,Drogheda United,2-4,Sligo Rovers
1996,6,Shelbourne,3-1,Cork City
1996,6,Derry City,1-0,Bohemians
1996,6,Kilkenny City,1-2,Shamrock Rovers
1996,6,St. Pat's,1-1,UCD
1996,7,UCD,2-1,Shelbourne
1996,7,Bohemians,1-1,Drogheda United
1996,7,Sligo Rovers,3-4,St. Pat's
1996,7,Shamrock Rovers,1-0,Derry City
1996,7,Dundalk FC,3-0,Kilkenny City
1996,7,Finn Harps,2-1,Cork City
1996,8,Derry City,1-2,Dundalk FC
1996,8,Drogheda United,1-3,Shamrock Rovers
1996,8,Shelbourne,3-0,Sligo Rovers
1996,8,Kilkenny City,2-3,Finn Harps
1996,8,St. Pat's,0-0,Bohemians
1996,8,Cork City,1-0,UCD
1996,9,Finn Harps,1-0,UCD
1996,9,Bohemians,1-0,Shelbourne
1996,9,Kilkenny City,0-5,Derry City
1996,9,Shamrock Rovers,0-1,St. Pat's
1996,9,Sligo Rovers,0-2,Cork City
1996,9,Dundalk FC,1-1,Drogheda United
1996,10,Drogheda United,0-0,Kilkenny City
1996,10,Shelbourne,1-1,Shamrock Rovers
1996,10,Derry City,1-0,Finn Harps
1996,10,Cork City,1-1,Bohemians
1996,10,St. Pat's,1-0,Dundalk FC
1996,10,UCD,1-1,Sligo Rovers
1996,11,Shamrock Rovers,1-3,Cork City
1996,11,Derry City,4-1,Drogheda United
1996,11,Kilkenny City,0-2,St. Pat's
1996,11,Bohemians,0-0,UCD
1996,11,Dundalk FC,0-1,Shelbourne
1996,11,Sligo Rovers,2-2,Finn Harps
1996,12,Finn Harps,1-1,Sligo Rovers
1996,12,Drogheda United,0-1,Derry City
1996,12,St. Pat's,1-0,Kilkenny City
1996,12,Shelbourne,2-0,Dundalk FC
1996,12,Cork City,2-1,Shamrock Rovers
1996,12,UCD,2-1,Bohemians
1996,13,Kilkenny City,1-3,Shelbourne
1996,13,Dundalk FC,1-0,Cork City
1996,13,Derry City,1-1,St. Pat's
1996,13,Drogheda United,0-2,Finn Harps
1996,13,Bohemians,1-1,Sligo Rovers
1996,13,Shamrock Rovers,2-0,UCD
1996,14,St. Pat's,2-0,Drogheda United
1996,14,Shelbourne,1-0,Derry City
1996,14,Sligo Rovers,0-1,Shamrock Rovers
1996,14,Finn Harps,3-2,Bohemians
1996,14,Cork City,1-0,Kilkenny City
1996,14,UCD,1-3,Dundalk FC
1996,15,St. Pat's,1-0,Finn Harps
1996,15,Dundalk FC,5-0,Sligo Rovers
1996,15,Drogheda United,0-1,Shelbourne
1996,15,Shamrock Rovers,2-1,Bohemians
1996,15,Kilkenny City,1-1,UCD
1996,15,Derry City,1-1,Cork City
1996,16,Cork City,1-1,Drogheda United
1996,16,Sligo Rovers,2-0,Kilkenny City
1996,16,Bohemians,2-0,Dundalk FC
1996,16,Shelbourne,0-2,St. Pat's
1996,16,Finn Harps,2-1,Shamrock Rovers
1996,16,UCD,1-2,Derry City
1996,17,Drogheda United,0-0,UCD
1996,17,Kilkenny City,1-1,Bohemians
1996,17,Derry City,0-0,Sligo Rovers
1996,17,Shelbourne,3-2,Finn Harps
1996,17,St. Pat's,3-3,Cork City
1996,17,Dundalk FC,0-0,Shamrock Rovers
1996,18,Bohemians,1-0,Derry City
1996,18,Finn Harps,0-1,Dundalk FC
1996,18,Sligo Rovers,2-1,Drogheda United
1996,18,Cork City,4-4,Shelbourne
1996,18,Shamrock Rovers,1-0,Kilkenny City
1996,18,UCD,1-1,St. Pat's
1996,19,Cork City,3-1,Finn Harps
1996,19,Kilkenny City,1-2,Dundalk FC
1996,19,Derry City,0-1,Shamrock Rovers
1996,19,Shelbourne,3-1,UCD
1996,19,St. Pat's,1-2,Sligo Rovers
1996,19,Drogheda United,0-1,Bohemians
1996,20,Dundalk FC,0-1,Derry City
1996,20,Bohemians,0-0,St. Pat's
1996,20,Sligo Rovers,1-1,Shelbourne
1996,20,Finn Harps,2-1,Kilkenny City
1996,20,UCD,0-0,Cork City
1996,20,Shamrock Rovers,0-0,Drogheda United
1996,21,St. Pat's,2-0,Shamrock Rovers
1996,21,UCD,0-0,Finn Harps
1996,21,Cork City,1-1,Sligo Rovers
1996,21,Derry City,1-1,Kilkenny City
1996,21,Shelbourne,0-1,Bohemians
1996,21,Drogheda United,1-0,Dundalk FC
1996,22,Dundalk FC,0-0,St. Pat's
1996,22,Shamrock Rovers,0-2,Shelbourne
1996,22,Sligo Rovers,2-1,UCD
1996,22,Kilkenny City,2-1,Drogheda United
1996,22,Finn Harps,1-0,Derry City
1996,22,Bohemians,4-2,Cork City
1996,23,UCD,0-0,Shamrock Rovers
1996,23,Cork City,0-0,Dundalk FC
1996,23,Sligo Rovers,2-1,Bohemians
1996,23,Finn Harps,1-0,Drogheda United
1996,23,St. Pat's,1-0,Derry City
1996,23,Shelbourne,3-0,Kilkenny City
1996,24,Dundalk FC,1-2,UCD
1996,24,Drogheda United,1-2,St. Pat's
1996,24,Shamrock Rovers,0-0,Sligo Rovers
1996,24,Derry City,1-2,Shelbourne
1996,24,Kilkenny City,1-2,Cork City
1996,24,Bohemians,1-0,Finn Harps
1996,25,Finn Harps,0-2,St. Pat's
1996,25,Cork City,0-1,Derry City
1996,25,UCD,1-0,Kilkenny City
1996,25,Shelbourne,1-0,Drogheda United
1996,25,Bohemians,0-1,Shamrock Rovers
1996,25,Sligo Rovers,3-0,Dundalk FC
1996,26,Dundalk FC,3-3,Bohemians
1996,26,Shamrock Rovers,2-2,Finn Harps
