Season,Matchday,Home Team,Score,Away Team
2022,1,St. Pat's,1-1,Derry City
2022,1,Cork City,1-2,Bohemians
2022,1,Dundalk FC,1-1,UCD
2022,1,Shelbourne,0-0,Drogheda United
2022,1,Sligo Rovers,1-1,Shamrock Rovers
2022,2,UCD,2-3,Sligo Rovers
2022,2,Derry City,2-0,Cork City
2022,2,Drogheda United,1-1,Shamrock Rovers
2022,2,St. Pat's,1-0,Shelbourne
2022,2,Bohemians,2-1,Dundalk FC
2022,3,Shamrock Rovers,1-2,Derry City
2022,3,Dundalk FC,5-0,St. Pat's
2022,3,Shelbourne,1-0,Bohemians
2022,3,Cork City,4-0,UCD
2022,3,Drogheda United,1-0,Sligo Rovers
2022,4,UCD,0-4,Derry City
2022,4,Bohemians,3-1,Drogheda United
2022,4,Dundalk FC,2-1,Shelbourne
2022,4,Sligo Rovers,2-1,St. Pat's
2022,4,Shamrock Rovers,4-4,Cork City
2022,5,Sligo Rovers,2-2,Cork City
2022,5,Derry City,0-0,Dundalk FC
2022,5,Shelbourne,0-0,Shamrock Rovers
2022,5,St. Pat's,0-2,Bohemians
2022,5,UCD,0-1,Drogheda United
2022,6,Drogheda United,0-1,Dundalk FC
2022,6,Shamrock Rovers,2-2,St. Pat's
2022,6,Cork City,0-2,Shelbourne
2022,6,Bohemians,2-1,UCD
2022,6,Derry City,1-1,Sligo Rovers
2022,7,Sligo Rovers,0-1,Bohemians
2022,7,St. Pat's,3-0,UCD
2022,7,Shelbourne,0-1,Derry City
2022,7,Cork City,1-1,Drogheda United
2022,7,Dundalk FC,0-4,Shamrock Rovers
2022,8,Dundalk FC,1-2,Sligo Rovers
2022,8,St. Pat's,4-0,Cork City
2022,8,Bohemians,0-2,Shamrock Rovers
2022,8,UCD,0-0,Shelbourne
2022,8,Derry City,0-1,Drogheda United
2022,9,Shamrock Rovers,3-0,UCD
2022,9,Shelbourne,2-1,Sligo Rovers
2022,9,Drogheda United,1-3,St. Pat's
2022,9,Cork City,1-0,Dundalk FC
2022,9,Derry City,0-1,Bohemians
2022,10,Shamrock Rovers,2-2,Shelbourne
2022,10,Bohemians,2-3,St. Pat's
2022,10,UCD,1-0,Cork City
2022,10,Sligo Rovers,1-1,Drogheda United
2022,10,Dundalk FC,2-2,Derry City
2022,11,Cork City,1-3,Derry City
2022,11,Sligo Rovers,3-1,UCD
2022,11,Drogheda United,0-2,Bohemians
2022,11,St. Pat's,0-2,Shamrock Rovers
2022,11,Shelbourne,1-1,Dundalk FC
2022,12,UCD,1-1,Bohemians
2022,12,Derry City,2-0,St. Pat's
2022,12,Dundalk FC,3-2,Drogheda United
2022,12,Shelbourne,2-1,Cork City
2022,12,Shamrock Rovers,2-1,Sligo Rovers
2022,13,Derry City,0-2,Shamrock Rovers
2022,13,UCD,0-2,Dundalk FC
2022,13,Drogheda United,1-1,Shelbourne
2022,13,St. Pat's,0-1,Sligo Rovers
2022,13,Bohemians,5-0,Cork City
2022,14,Drogheda United,0-1,Derry City
2022,14,Shelbourne,1-0,UCD
2022,14,Shamrock Rovers,2-0,Bohemians
2022,14,Cork City,2-3,St. Pat's
2022,14,Sligo Rovers,0-1,Dundalk FC
2022,15,St. Pat's,3-0,Drogheda United
2022,15,Sligo Rovers,0-3,Shelbourne
2022,15,Bohemians,0-1,Derry City
2022,15,UCD,0-3,Shamrock Rovers
2022,15,Dundalk FC,2-1,Cork City
2022,16,Shamrock Rovers,1-2,Drogheda United
2022,16,Shelbourne,0-1,St. Pat's
2022,16,Cork City,1-0,Sligo Rovers
2022,16,Derry City,4-1,UCD
2022,16,Dundalk FC,2-2,Bohemians
2022,17,St. Pat's,2-1,Dundalk FC
2022,17,Bohemians,0-0,Shelbourne
2022,17,Cork City,1-0,Shamrock Rovers
2022,17,Drogheda United,3-1,UCD
2022,17,Sligo Rovers,1-0,Derry City
2022,18,UCD,1-3,St. Pat's
2022,18,Drogheda United,0-1,Cork City
2022,18,Shamrock Rovers,2-0,Dundalk FC
2022,18,Bohemians,2-0,Sligo Rovers
2022,18,Derry City,0-0,Shelbourne
2022,19,Cork City,2-1,Bohemians
2022,19,Dundalk FC,4-1,UCD
2022,19,Sligo Rovers,0-3,Shamrock Rovers
2022,19,St. Pat's,4-1,Derry City
2022,19,Shelbourne,3-2,Drogheda United
2022,20,Shamrock Rovers,4-0,UCD
2022,20,Drogheda United,2-1,St. Pat's
2022,20,Derry City,0-0,Bohemians
2022,20,Cork City,1-2,Dundalk FC
2022,20,Shelbourne,1-1,Sligo Rovers
2022,21,St. Pat's,1-0,Shelbourne
2022,21,Bohemians,2-2,Shamrock Rovers
2022,21,UCD,2-1,Sligo Rovers
2022,21,Derry City,2-0,Cork City
2022,21,Drogheda United,1-2,Dundalk FC
2022,22,Sligo Rovers,3-1,Bohemians
2022,22,Cork City,1-1,Drogheda United
2022,22,Dundalk FC,2-0,Shamrock Rovers
2022,22,Shelbourne,1-1,Derry City
2022,22,St. Pat's,7-0,UCD
2022,23,Drogheda United,0-0,Shamrock Rovers
2022,23,St. Pat's,1-1,Cork City
2022,23,Bohemians,3-2,Dundalk FC
2022,23,UCD,0-4,Shelbourne
2022,23,Derry City,2-1,Sligo Rovers
2022,24,UCD,1-3,Drogheda United
2022,24,Shelbourne,1-1,Bohemians
2022,24,Sligo Rovers,3-0,Cork City
2022,24,Derry City,3-0,Dundalk FC
2022,24,Shamrock Rovers,3-2,St. Pat's
2022,25,Dundalk FC,1-1,St. Pat's
2022,25,Shamrock Rovers,1-0,Derry City
2022,25,Bohemians,2-0,UCD
2022,25,Cork City,0-2,Shelbourne
2022,25,Drogheda United,2-2,Sligo Rovers
2022,26,Bohemians,4-2,Drogheda United
2022,26,Sligo Rovers,0-2,St. Pat's
2022,26,Dundalk FC,1-1,Shelbourne
2022,26,Shamrock Rovers,2-1,Cork City
2022,26,UCD,0-5,Derry City
2022,27,Derry City,3-0,Drogheda United
2022,27,Dundalk FC,1-0,Sligo Rovers
2022,27,Shelbourne,1-1,Shamrock Rovers
2022,27,Cork City,1-1,UCD
2022,27,St. Pat's,0-0,Bohemians
2022,28,Drogheda United,3-1,Cork City
2022,28,UCD,0-1,St. Pat's
2022,28,Shamrock Rovers,1-0,Dundalk FC
2022,28,Bohemians,2-2,Derry City
2022,28,Sligo Rovers,0-1,Shelbourne
2022,29,Dundalk FC,1-3,Derry City
2022,29,Drogheda United,3-0,UCD
2022,29,Shelbourne,2-1,St. Pat's
2022,29,Cork City,3-0,Sligo Rovers
2022,29,Shamrock Rovers,3-0,Bohemians
2022,30,Sligo Rovers,2-0,UCD
2022,30,St. Pat's,1-2,Drogheda United
2022,30,Bohemians,1-1,Shelbourne
2022,30,Dundalk FC,5-0,Cork City
2022,30,Derry City,1-1,Shamrock Rovers
2022,31,UCD,0-0,Shamrock Rovers
2022,31,Drogheda United,0-0,Bohemians
2022,31,Sligo Rovers,1-0,Derry City
2022,31,Shelbourne,2-1,Cork City
2022,31,St. Pat's,3-1,Dundalk FC
2022,32,Cork City,0-1,St. Pat's
2022,32,Derry City,6-0,UCD
2022,32,Bohemians,3-1,Sligo Rovers
2022,32,Dundalk FC,3-1,Drogheda United
2022,32,Shamrock Rovers,1-0,Shelbourne
2022,33,Drogheda United,0-0,Derry City
2022,33,Shelbourne,1-0,Dundalk FC
2022,33,UCD,1-2,Bohemians
2022,33,St. Pat's,1-0,Sligo Rovers
2022,33,Cork City,0-0,Shamrock Rovers
2022,34,Shamrock Rovers,5-0,Drogheda United
2022,34,Derry City,0-0,Shelbourne
2022,34,UCD,0-2,Cork City
2022,34,Bohemians,0-2,St. Pat's
2022,34,Sligo Rovers,0-2,Dundalk FC
2022,35,Cork City,0-1,Derry City
2022,35,Dundalk FC,2-0,Bohemians
2022,35,Shelbourne,3-2,UCD
2022,35,St. Pat's,0-2,Shamrock Rovers
2022,35,Sligo Rovers,0-0,Drogheda United
2022,36,Derry City,3-0,St. Pat's
2022,36,UCD,1-5,Dundalk FC
2022,36,Bohemians,4-0,Cork City
2022,36,Shamrock Rovers,4-2,Sligo Rovers
2022,36,Drogheda United,2-4,Shelbourne
