Season,Matchday,Home Team,Score,Away Team
2021,1,Dundalk FC,2-2,Derry City
2021,1,Shelbourne,0-3,St. Pat's
2021,1,Shamrock Rovers,3-0,UCD
2021,1,Finn Harps,2-2,Drogheda United
2021,1,Sligo Rovers,0-1,Bohemians
2021,2,Bohemians,2-2,Dundalk FC
2021,2,Derry City,2-1,Shamrock Rovers
2021,2,Drogheda United,0-2,Shelbourne
2021,2,St. Pat's,1-2,Sligo Rovers
2021,2,UCD,0-0,Finn Harps
2021,3,Bohemians,1-0,St. Pat's
2021,3,Derry City,0-0,Sligo Rovers
2021,3,Dundalk FC,3-0,Finn Harps
2021,3,UCD,0-0,Shelbourne
2021,3,Shamrock Rovers,3-1,Drogheda United
2021,4,Drogheda United,4-2,UCD
2021,4,Shelbourne,0-1,Derry City
2021,4,St. Pat's,1-0,Shamrock Rovers
2021,4,Finn Harps,1-1,Bohemians
2021,4,Sligo Rovers,0-0,Dundalk FC
2021,5,Drogheda United,0-3,Sligo Rovers
2021,5,Shelbourne,1-1,Dundalk FC
2021,5,Finn Harps,0-2,St. Pat's
2021,5,Shamrock Rovers,1-0,Bohemians
2021,5,UCD,0-2,Derry City
2021,6,Bohemians,1-1,Shelbourne
2021,6,Derry City,2-0,Drogheda United
2021,6,Dundalk FC,0-0,Shamrock Rovers
2021,6,Sligo Rovers,3-1,Finn Harps
2021,6,St. Pat's,2-0,UCD
2021,7,UCD,1-1,Bohemians
2021,7,Derry City,2-1,St. Pat's
2021,7,Drogheda United,1-0,Dundalk FC
2021,7,Shelbourne,0-3,Finn Harps
2021,7,Shamrock Rovers,2-2,Sligo Rovers
2021,8,Bohemians,1-2,Derry City
2021,8,Dundalk FC,2-0,UCD
2021,8,St. Pat's,1-1,Drogheda United
2021,8,Sligo Rovers,0-1,Shelbourne
2021,8,Finn Harps,0-3,Shamrock Rovers
2021,9,Drogheda United,1-1,Bohemians
2021,9,Shelbourne,1-2,Shamrock Rovers
2021,9,St. Pat's,0-0,Dundalk FC
2021,9,Finn Harps,1-2,Derry City
2021,9,Sligo Rovers,2-2,UCD
2021,10,Bohemians,2-2,Finn Harps
2021,10,Derry City,1-2,Shelbourne
2021,10,Dundalk FC,2-1,Sligo Rovers
2021,10,UCD,0-2,Drogheda United
2021,10,Shamrock Rovers,1-0,St. Pat's
2021,11,Shelbourne,1-4,Bohemians
2021,11,UCD,1-2,St. Pat's
2021,11,Finn Harps,0-1,Sligo Rovers
2021,11,Shamrock Rovers,1-0,Dundalk FC
2021,11,Drogheda United,1-1,Derry City
2021,12,Bohemians,1-3,Shamrock Rovers
2021,12,Derry City,7-1,UCD
2021,12,Dundalk FC,2-1,Shelbourne
2021,12,St. Pat's,2-0,Finn Harps
2021,12,Sligo Rovers,3-2,Drogheda United
2021,13,Bohemians,3-0,UCD
2021,13,Dundalk FC,4-1,Drogheda United
2021,13,St. Pat's,0-4,Derry City
2021,13,Sligo Rovers,1-1,Shamrock Rovers
2021,13,Finn Harps,1-0,Shelbourne
2021,14,Derry City,1-1,Bohemians
2021,14,Drogheda United,0-4,St. Pat's
2021,14,Shelbourne,2-1,Sligo Rovers
2021,14,UCD,2-2,Dundalk FC
2021,14,Shamrock Rovers,3-1,Finn Harps
2021,15,Dundalk FC,3-1,Bohemians
2021,15,Shelbourne,1-0,Drogheda United
2021,15,Finn Harps,0-1,UCD
2021,15,Shamrock Rovers,1-0,Derry City
2021,15,Sligo Rovers,1-1,St. Pat's
2021,16,UCD,0-3,Shamrock Rovers
2021,16,Bohemians,2-1,Sligo Rovers
2021,16,Derry City,1-2,Dundalk FC
2021,16,Drogheda United,3-1,Finn Harps
2021,16,St. Pat's,1-2,Shelbourne
2021,17,Drogheda United,1-0,Shamrock Rovers
2021,17,Shelbourne,2-0,UCD
2021,17,Sligo Rovers,2-1,Derry City
2021,17,St. Pat's,3-0,Bohemians
2021,17,Finn Harps,0-1,Dundalk FC
2021,18,Bohemians,1-1,Drogheda United
2021,18,Derry City,2-2,Finn Harps
2021,18,Dundalk FC,1-0,St. Pat's
2021,18,UCD,1-1,Sligo Rovers
2021,18,Shamrock Rovers,2-0,Shelbourne
2021,19,St. Pat's,1-2,Shamrock Rovers
2021,19,Drogheda United,1-1,UCD
2021,19,Shelbourne,0-1,Derry City
2021,19,Sligo Rovers,0-3,Dundalk FC
2021,19,Finn Harps,0-2,Bohemians
2021,20,Bohemians,1-0,Shelbourne
2021,20,Derry City,1-1,Drogheda United
2021,20,Dundalk FC,1-0,Shamrock Rovers
2021,20,St. Pat's,2-1,UCD
2021,20,Sligo Rovers,3-0,Finn Harps
2021,21,Drogheda United,0-0,Sligo Rovers
2021,21,Shelbourne,0-0,Dundalk FC
2021,21,UCD,0-1,Derry City
2021,21,Shamrock Rovers,1-0,Bohemians
2021,21,Finn Harps,2-2,St. Pat's
2021,22,Bohemians,2-3,Derry City
2021,22,Dundalk FC,3-0,UCD
2021,22,St. Pat's,3-0,Drogheda United
2021,22,Finn Harps,0-1,Shamrock Rovers
2021,22,Sligo Rovers,3-1,Shelbourne
2021,23,Derry City,0-0,St. Pat's
2021,23,Shamrock Rovers,3-1,Sligo Rovers
2021,23,UCD,1-3,Bohemians
2021,23,Drogheda United,1-0,Dundalk FC
2021,23,Shelbourne,3-1,Finn Harps
