Season,Matchday,Home Team,Score,Away Team
2011,1,Drogheda United,1-2,Shamrock Rovers
2011,1,Derry City,1-0,Bohemians
2011,1,UCD,1-0,Cork City
2011,1,St. Pat's,1-0,Bray Wanderers
2011,1,Shelbourne,1-1,Sligo Rovers
2011,1,Monaghan United,,Dundalk FC
2011,2,Bohemians,0-2,Shelbourne
2011,2,Bray Wanderers,0-4,Derry City
2011,2,Cork City,2-3,Drogheda United
2011,2,Dundalk FC,0-2,St. Pat's
2011,2,Shamrock Rovers,2-1,Monaghan United
2011,2,Sligo Rovers,,UCD
2011,3,Shelbourne,,Derry City
2011,3,UCD,1-0,Bray Wanderers
2011,3,St. Pat's,2-3,Monaghan United
2011,3,Sligo Rovers,1-0,Bohemians
2011,3,Cork City,1-1,Shamrock Rovers
2011,3,Drogheda United,0-0,Dundalk FC
2011,4,Dundalk FC,2-1,UCD
2011,4,Bray Wanderers,2-4,Drogheda United
2011,4,Derry City,2-0,Cork City
2011,4,Monaghan United,4-0,Sligo Rovers
2011,4,Shamrock Rovers,0-0,Shelbourne
2011,4,Bohemians,,St. Pat's
2011,5,Shelbourne,3-0,St. Pat's
2011,5,Sligo Rovers,,Dundalk FC
2011,5,Cork City,1-1,Bray Wanderers
2011,5,UCD,2-0,Monaghan United
2011,5,Shamrock Rovers,2-0,Bohemians
2011,5,Drogheda United,1-1,Derry City
2011,6,St. Pat's,5-1,Shamrock Rovers
2011,6,Derry City,0-0,UCD
2011,6,Dundalk FC,0-0,Shelbourne
2011,6,Bray Wanderers,1-2,Sligo Rovers
2011,6,Bohemians,1-0,Cork City
2011,6,Monaghan United,,Drogheda United
2011,7,UCD,2-1,Bohemians
2011,7,Shamrock Rovers,,Dundalk FC
2011,7,Shelbourne,6-0,Bray Wanderers
2011,7,Drogheda United,0-0,St. Pat's
2011,7,Sligo Rovers,1-1,Derry City
2011,7,Cork City,1-2,Monaghan United
2011,8,Cork City,1-2,Sligo Rovers
2011,8,Drogheda United,3-1,Shelbourne
2011,8,Bohemians,2-0,Monaghan United
2011,8,St. Pat's,2-2,UCD
2011,8,Bray Wanderers,0-1,Shamrock Rovers
2011,8,Derry City,,Dundalk FC
2011,9,Shelbourne,1-1,Cork City
2011,9,Shamrock Rovers,,Derry City
2011,9,Monaghan United,1-2,Bray Wanderers
2011,9,UCD,1-1,Drogheda United
2011,9,Dundalk FC,0-2,Bohemians
2011,9,Sligo Rovers,1-1,St. Pat's
2011,10,Derry City,0-2,St. Pat's
2011,10,Drogheda United,1-3,Sligo Rovers
2011,10,Cork City,3-2,Dundalk FC
2011,10,Bray Wanderers,2-1,Bohemians
2011,10,Shelbourne,2-2,Monaghan United
2011,10,Shamrock Rovers,,UCD
2011,11,Monaghan United,,Derry City
2011,11,Sligo Rovers,3-0,Shamrock Rovers
2011,11,St. Pat's,0-0,Cork City
2011,11,UCD,0-2,Shelbourne
2011,11,Bohemians,1-1,Drogheda United
2011,11,Dundalk FC,0-2,Bray Wanderers
2011,12,Shamrock Rovers,3-1,Drogheda United
2011,12,Dundalk FC,1-2,Monaghan United
2011,12,Bohemians,3-3,Derry City
2011,12,Bray Wanderers,4-2,St. Pat's
2011,12,Cork City,3-0,UCD
2011,12,Sligo Rovers,,Shelbourne
2011,13,Monaghan United,1-2,Shamrock Rovers
2011,13,Shelbourne,,Bohemians
2011,13,Drogheda United,1-1,Cork City
2011,13,St. Pat's,1-2,Dundalk FC
2011,13,Derry City,3-2,Bray Wanderers
2011,13,UCD,1-0,Sligo Rovers
2011,14,Dundalk FC,1-2,Drogheda United
2011,14,Bohemians,0-0,Sligo Rovers
2011,14,Derry City,0-1,Shelbourne
2011,14,Bray Wanderers,3-1,UCD
2011,14,Shamrock Rovers,1-1,Cork City
2011,14,Monaghan United,,St. Pat's
2011,15,UCD,1-1,Dundalk FC
2011,15,Shelbourne,2-3,Shamrock Rovers
2011,15,Drogheda United,3-1,Bray Wanderers
2011,15,St. Pat's,2-1,Bohemians
2011,15,Cork City,2-2,Derry City
2011,15,Sligo Rovers,,Monaghan United
2011,16,Dundalk FC,1-2,Sligo Rovers
2011,16,Bray Wanderers,0-3,Cork City
2011,16,Derry City,0-3,Drogheda United
2011,16,Bohemians,4-0,Shamrock Rovers
2011,16,St. Pat's,1-0,Shelbourne
2011,16,Monaghan United,,UCD
2011,17,Shamrock Rovers,1-1,St. Pat's
2011,17,Cork City,,Bohemians
2011,17,Sligo Rovers,1-1,Bray Wanderers
2011,17,Shelbourne,1-1,Dundalk FC
2011,17,UCD,4-0,Derry City
2011,17,Drogheda United,0-1,Monaghan United
2011,18,Derry City,1-2,Sligo Rovers
2011,18,Dundalk FC,1-1,Shamrock Rovers
2011,18,Bray Wanderers,2-3,Shelbourne
2011,18,Monaghan United,1-0,Cork City
2011,18,Bohemians,0-2,UCD
2011,18,St. Pat's,,Drogheda United
2011,19,Sligo Rovers,,Cork City
2011,19,UCD,2-2,St. Pat's
2011,19,Shelbourne,1-1,Drogheda United
2011,19,Dundalk FC,1-1,Derry City
2011,19,Shamrock Rovers,0-0,Bray Wanderers
2011,19,Monaghan United,1-2,Bohemians
2011,20,Bohemians,2-1,Dundalk FC
2011,20,Drogheda United,1-0,UCD
2011,20,Derry City,0-1,Shamrock Rovers
2011,20,Cork City,0-0,Shelbourne
2011,20,Bray Wanderers,0-0,Monaghan United
2011,20,St. Pat's,,Sligo Rovers
2011,21,Sligo Rovers,3-0,Drogheda United
2011,21,St. Pat's,,Derry City
2011,21,Monaghan United,4-1,Shelbourne
2011,21,Dundalk FC,1-1,Cork City
2011,21,UCD,0-2,Shamrock Rovers
2011,21,Bohemians,0-0,Bray Wanderers
2011,22,Drogheda United,1-0,Bohemians
2011,22,Derry City,1-1,Monaghan United
2011,22,Bray Wanderers,1-2,Dundalk FC
2011,22,Shelbourne,0-1,UCD
2011,22,Cork City,1-1,St. Pat's
2011,22,Shamrock Rovers,,Sligo Rovers
2011,23,Monaghan United,,Dundalk FC
2011,23,Drogheda United,0-2,Shamrock Rovers
2011,23,Shelbourne,1-3,Sligo Rovers
2011,23,St. Pat's,0-1,Bray Wanderers
2011,23,UCD,3-1,Cork City
2011,23,Derry City,2-0,Bohemians
2011,24,Bray Wanderers,0-0,Derry City
2011,24,Sligo Rovers,3-0,UCD
2011,24,Dundalk FC,0-1,St. Pat's
2011,24,Cork City,3-2,Drogheda United
2011,24,Bohemians,2-2,Shelbourne
2011,24,Shamrock Rovers,,Monaghan United
2011,25,Sligo Rovers,,Bohemians
2011,25,Cork City,0-2,Shamrock Rovers
2011,25,Shelbourne,3-1,Derry City
2011,25,St. Pat's,3-2,Monaghan United
2011,25,UCD,3-1,Bray Wanderers
2011,25,Drogheda United,1-2,Dundalk FC
2011,26,Bohemians,2-3,St. Pat's
2011,26,Dundalk FC,1-2,UCD
2011,26,Derry City,0-1,Cork City
2011,26,Bray Wanderers,1-3,Drogheda United
2011,26,Monaghan United,2-2,Sligo Rovers
2011,26,Shamrock Rovers,,Shelbourne
2011,27,Shamrock Rovers,,Bohemians
2011,27,Shelbourne,0-1,St. Pat's
2011,27,Cork City,0-2,Bray Wanderers
2011,27,UCD,2-0,Monaghan United
2011,27,Sligo Rovers,3-0,Dundalk FC
2011,27,Drogheda United,2-1,Derry City
2011,28,Bray Wanderers,0-0,Sligo Rovers
2011,28,Derry City,1-2,UCD
2011,28,Bohemians,1-1,Cork City
2011,28,Dundalk FC,0-1,Shelbourne
2011,28,Monaghan United,2-1,Drogheda United
2011,28,St. Pat's,,Shamrock Rovers
