Home,Away,Attendance,Date,Referee,Season
St. Pat's,Shelbourne                                                                     ,,"May 20, 2022",Damien MacGraith,2022
Bohemians,Sligo Rovers                                                                     ,,"May 20, 2022",John McLoughlin,2022
Derry City,Dundalk FC                                                                     ,,"May 20, 2022",Robert Harvey,2022
Drogheda United,Finn Harps                                                                     ,,"May 20, 2022",Derek Tomney,2022
Shelbourne,UCD                                                                     ,,"May 23, 2022",Ben Connolly,2022
Sligo Rovers,Derry City                                                                     ,,"May 23, 2022", Paul,2022
St. Pat's,Bohemians                                                                     ,,"May 23, 2022",Neil Doyle,2022
Drogheda United,Shamrock Rovers                                                                     ,,"May 23, 2022",Ray Matthews,2022
Finn Harps,Dundalk FC                                                                     ,,"May 23, 2022",Robert Hennessy,2022
UCD,Sligo Rovers                                                                     ,,"May 27, 2022",David Dunne,2022
Bohemians,Drogheda United                                                                     ,,"May 27, 2022",Seán Grant,2022
Derry City,Finn Harps                                                                     ,,"May 27, 2022",Adriano Reale,2022
Dundalk FC,St. Pat's                                                                     ,,"May 27, 2022", Ray,2022
Shamrock Rovers,Shelbourne                                                                     ,,"May 27, 2022", Robert,2022
St. Pat's,Shamrock Rovers                                                                     ,,"Jun 27, 2022",Robert Hennessy,2022
Drogheda United,UCD                                                                     ,,"Aug 1, 2022",Robert Harvey,2022
Sligo Rovers,Dundalk FC                                                                     ,,"Aug 29, 2022",John McLoughlin,2022
Shelbourne,Derry City                                                                     ,,"Aug 29, 2022",Robert Clarke,2022
Finn Harps,Bohemians                                                                     ,,"Sep 24, 2022",Damien McGraith,2022
St. Pat's,UCD                                                                     ,,"Jun 17, 2022",Paul McLaughlin,2022
Bohemians,Shelbourne                                                                     ,,"Jun 17, 2022",Seán Grant,2022
Derry City,Drogheda United                                                                     ,,"Jun 17, 2022",Alan Patchell,2022
Dundalk FC,Shamrock Rovers                                                                     ,,"Jun 17, 2022", Neil,2022
Sligo Rovers,Finn Harps                                                                     ,,"Jun 18, 2022", Damien,2022
Shelbourne,Dundalk FC                                                                     ,,"Jun 24, 2022",Robert Hennessy,2022
UCD,Derry City                                                                     ,,"Jun 24, 2022",Ray Matthews,2022
Drogheda United,Sligo Rovers                                                                     ,,"Jun 24, 2022",Neil Doyle,2022
Shamrock Rovers,Bohemians                                                                     ,,"Jun 24, 2022", Robert,2022
Finn Harps,St. Pat's                                                                     ,,"Jun 24, 2022",John McLoughlin,2022
Dundalk FC,UCD                                                                     ,,"Jul 1, 2022",Robert Harvey,2022
St. Pat's,Drogheda United                                                                     ,,"Jul 1, 2022",Ray Matthews,2022
Bohemians,Derry City                                                                     ,,"Jul 1, 2022",Paul McLaughlin,2022
Finn Harps,Shamrock Rovers                                                                     ,,"Jul 1, 2022",Ray Matthews,2022
Sligo Rovers,Shelbourne                                                                     ,,"Jul 2, 2022",John McLoughlin,2022
Derry City,St. Pat's                                                                     ,,"May 9, 2022",Robert Hennessy,2022
Shamrock Rovers,Sligo Rovers                                                                     ,,"May 9, 2022", Derek,2022
UCD,Bohemians                                                                     ,,"Jul 7, 2022",Alan Patchell,2022
Shelbourne,Finn Harps                                                                     ,,"Jul 8, 2022",Kevin O'Sullivan,2022
Drogheda United,Dundalk FC                                                                     ,,"Jul 8, 2022",Neil Doyle,2022
St. Pat's,Dundalk FC                                                                     ,,"Jul 15, 2022",Robert Hennessy,2022
Drogheda United,Bohemians                                                                     ,,"Jul 15, 2022",Paul McLaughlin,2022
Finn Harps,Derry City                                                                     ,,"Jul 17, 2022",Derek Tomney,2022
Sligo Rovers,UCD                                                                     ,,"Jul 17, 2022",Paul Norton,2022
Shelbourne,Shamrock Rovers                                                                     ,,"Sep 22, 2022",Ben Connolly,2022
Dundalk FC,Finn Harps                                                                     ,,"Jul 22, 2022", Adriano,2022
UCD,Shelbourne                                                                     ,,"Jul 22, 2022",John McLoughlin,2022
Shamrock Rovers,Drogheda United                                                                     ,,"Jul 23, 2022", Robert,2022
Bohemians,St. Pat's                                                                     ,,"Aug 29, 2022",Paul McLaughlin,2022
Derry City,Sligo Rovers                                                                     ,,"Sep 13, 2022",Robert Harvey,2022
Dundalk FC,Derry City                                                                     ,,"Aug 5, 2022",Robert Hennessy,2022
Finn Harps,Drogheda United                                                                     ,,"Aug 5, 2022",Damien McGraith,2022
Sligo Rovers,Bohemians                                                                     ,,"Aug 7, 2022",Ray Matthews,2022
Shamrock Rovers,UCD                                                                     ,,"Sep 26, 2022",Kevin O'Sullivan,2022
Shelbourne,St. Pat's                                                                     ,,"Oct 3, 2022",Neil Doyle,2022
UCD,Finn Harps                                                                     ,,"Aug 12, 2022",Derek Tomney,2022
Derry City,Shamrock Rovers                                                                     ,,"Aug 12, 2022",Paul McLaughlin,2022
Drogheda United,Shelbourne                                                                     ,,"Aug 12, 2022",John McLoughlin,2022
Bohemians,Dundalk FC                                                                     ,,"Aug 12, 2022",Adriano Reale,2022
St. Pat's,Sligo Rovers                                                                     ,,"Aug 14, 2022",Ben Connolly,2022
Drogheda United,Derry City                                                                     ,,"Aug 19, 2022",Damien McGraith,2022
Shelbourne,Bohemians                                                                     ,,"Aug 19, 2022",Neil Doyle,2022
UCD,St. Pat's                                                                     ,,"Aug 19, 2022",Oliver Moran,2022
Finn Harps,Sligo Rovers                                                                     ,,"Aug 19, 2022", Robert,2022
Shamrock Rovers,Dundalk FC                                                                     ,,"Aug 21, 2022", Robert,2022
St. Pat's,Finn Harps                                                                     ,,"Sep 2, 2022",Ray Matthews,2022
Bohemians,Shamrock Rovers                                                                     ,,"Sep 2, 2022",Robert Hennessy,2022
Derry City,UCD                                                                     ,,"Sep 2, 2022",Oliver Moran,2022
Dundalk FC,Shelbourne                                                                     ,,"Sep 2, 2022", Paul,2022
Sligo Rovers,Drogheda United                                                                     ,,"Sep 3, 2022",Alan Patchell,2022
Shelbourne,Sligo Rovers                                                                     ,,"Sep 9, 2022",John McLoughlin,2022
UCD,Dundalk FC                                                                     ,,"Sep 9, 2022",Adriano Reale,2022
Derry City,Bohemians                                                                     ,,"Sep 9, 2022",Neil Doyle,2022
Drogheda United,St. Pat's                                                                     ,,"Sep 9, 2022",Seán Grant,2022
Shamrock Rovers,Finn Harps                                                                     ,,"Sep 11, 2022",Derek Tomney,2022
Dundalk FC,Drogheda United                                                                     ,,"Sep 30, 2022",John McLoughlin,2022
St. Pat's,Derry City                                                                     ,,"Sep 30, 2022",Derek Tomney,2022
Bohemians,UCD                                                                     ,,"Sep 30, 2022",Ray Matthews,2022
Finn Harps,Shelbourne                                                                     ,,"Sep 30, 2022",Adriano Reale,2022
Sligo Rovers,Shamrock Rovers                                                                     ,,"Oct 1, 2022",Paul McLaughlin,2022
UCD,Sligo Rovers                                                                     ,,"Oct 7, 2022",Oliver Moran,2022
Bohemians,Drogheda United                                                                     ,,"Oct 7, 2022",Ben Connolly,2022
Derry City,Finn Harps                                                                     ,,"Oct 7, 2022",Seán Grant,2022
Dundalk FC,St. Pat's                                                                     ,,"Oct 7, 2022", Damien,2022
Shamrock Rovers,Shelbourne                                                                     ,,"Oct 9, 2022", Robert,2022
St. Pat's,Bohemians                                                                     ,,"Oct 14, 2022", Adriano,2022
Finn Harps,Dundalk FC                                                                     ,,"Oct 14, 2022", Paul,2022
Drogheda United,Shamrock Rovers                                                                     ,,"Oct 16, 2022",John McLoughlin,2022
Sligo Rovers,Derry City                                                                     ,,"Oct 24, 2022",Neil Doyle,2022
Shelbourne,UCD                                                                     ,,"Oct 24, 2022",Seán Grant,2022
UCD,Drogheda United                                                                     ,,"Oct 21, 2022",Robert Harvey,2022
Bohemians,Finn Harps                                                                     ,,"Oct 21, 2022",Ben Connolly,2022
Shamrock Rovers,St. Pat's                                                                     ,,"Oct 21, 2022", Robert,2022
Derry City,Shelbourne                                                                     ,,"Oct 21, 2022",Derek Tomney,2022
