Season,Matchday,Home Team,Score,Away Team
2010,1,Shamrock Rovers,3-1,Dundalk FC
2010,1,Derry City,0-1,Sligo Rovers
2010,1,Galway United,0-3,St. Pat's
2010,1,Drogheda United,0-1,UCD
2010,1,Bray Wanderers,1-3,Bohemians
2010,2,UCD,0-2,Derry City
2010,2,Bohemians,1-0,Drogheda United
2010,2,Dundalk FC,3-2,Galway United
2010,2,St. Pat's,2-3,Bray Wanderers
2010,2,Sligo Rovers,0-1,Shamrock Rovers
2010,3,Shamrock Rovers,2-0,St. Pat's
2010,3,Galway United,0-0,UCD
2010,3,Drogheda United,2-2,Derry City
2010,3,Bray Wanderers,0-0,Sligo Rovers
2010,3,Dundalk FC,0-0,Bohemians
2010,4,UCD,0-1,Bray Wanderers
2010,4,Bohemians,0-1,Galway United
2010,4,Sligo Rovers,2-0,Drogheda United
2010,4,Derry City,0-0,Shamrock Rovers
2010,4,St. Pat's,3-2,Dundalk FC
2010,5,Galway United,0-1,Sligo Rovers
2010,5,Dundalk FC,3-1,UCD
2010,5,St. Pat's,0-0,Bohemians
2010,5,Bray Wanderers,1-2,Derry City
2010,5,Drogheda United,0-4,Shamrock Rovers
2010,6,Derry City,2-0,Dundalk FC
2010,6,Drogheda United,1-1,Galway United
2010,6,UCD,0-2,Bohemians
2010,6,Shamrock Rovers,0-1,Bray Wanderers
2010,6,Sligo Rovers,2-0,St. Pat's
2010,7,Dundalk FC,1-1,Sligo Rovers
2010,7,Bray Wanderers,2-1,Drogheda United
2010,7,St. Pat's,1-1,UCD
2010,7,Bohemians,1-1,Shamrock Rovers
2010,7,Galway United,1-4,Derry City
2010,8,Sligo Rovers,1-2,Bohemians
2010,8,Bray Wanderers,2-0,Galway United
2010,8,Derry City,1-1,St. Pat's
2010,8,Drogheda United,1-2,Dundalk FC
2010,8,Shamrock Rovers,3-1,UCD
2010,9,Dundalk FC,0-0,Bray Wanderers
2010,9,Bohemians,0-2,Derry City
2010,9,UCD,2-1,Sligo Rovers
2010,9,Galway United,0-1,Shamrock Rovers
2010,9,St. Pat's,3-0,Drogheda United
2010,10,Dundalk FC,1-1,Shamrock Rovers
2010,10,Sligo Rovers,3-0,Derry City
2010,10,St. Pat's,5-2,Galway United
2010,10,Bohemians,1-1,Bray Wanderers
2010,10,UCD,2-1,Drogheda United
2010,11,Derry City,7-0,UCD
2010,11,Shamrock Rovers,1-0,Sligo Rovers
2010,11,Galway United,0-3,Dundalk FC
2010,11,Bray Wanderers,0-1,St. Pat's
2010,11,Drogheda United,0-1,Bohemians
2010,12,Bohemians,0-1,Dundalk FC
2010,12,UCD,3-0,Galway United
2010,12,St. Pat's,0-0,Shamrock Rovers
2010,12,Derry City,2-0,Drogheda United
2010,12,Sligo Rovers,3-1,Bray Wanderers
2010,13,Shamrock Rovers,1-1,Derry City
2010,13,Galway United,0-2,Bohemians
2010,13,Dundalk FC,1-2,St. Pat's
2010,13,Drogheda United,0-3,Sligo Rovers
2010,13,Bray Wanderers,2-1,UCD
2010,14,Bohemians,0-1,St. Pat's
2010,14,Derry City,1-1,Bray Wanderers
2010,14,UCD,0-2,Dundalk FC
2010,14,Shamrock Rovers,3-0,Drogheda United
2010,14,Sligo Rovers,3-0,Galway United
2010,15,Bray Wanderers,1-0,Shamrock Rovers
2010,15,Dundalk FC,1-0,Derry City
2010,15,Bohemians,1-0,UCD
2010,15,Galway United,1-2,Drogheda United
2010,15,St. Pat's,2-1,Sligo Rovers
2010,16,Shamrock Rovers,1-0,Bohemians
2010,16,Drogheda United,0-1,Bray Wanderers
2010,16,Derry City,6-0,Galway United
2010,16,UCD,1-3,St. Pat's
2010,16,Sligo Rovers,1-0,Dundalk FC
2010,17,UCD,1-6,Shamrock Rovers
2010,17,Dundalk FC,1-2,Drogheda United
2010,17,St. Pat's,1-1,Derry City
2010,17,Bohemians,0-0,Sligo Rovers
2010,17,Galway United,0-3,Bray Wanderers
2010,18,Sligo Rovers,4-0,UCD
2010,18,Shamrock Rovers,4-0,Galway United
2010,18,Bray Wanderers,1-5,Dundalk FC
2010,18,Derry City,3-0,Bohemians
2010,18,Drogheda United,1-4,St. Pat's
2010,19,Bray Wanderers,1-2,Bohemians
2010,19,Drogheda United,3-1,UCD
2010,19,Derry City,0-0,Sligo Rovers
2010,19,Galway United,0-2,St. Pat's
2010,19,Shamrock Rovers,2-2,Dundalk FC
2010,20,St. Pat's,1-0,Bray Wanderers
2010,20,Dundalk FC,6-1,Galway United
2010,20,Bohemians,2-0,Drogheda United
2010,20,UCD,2-2,Derry City
2010,20,Sligo Rovers,2-0,Shamrock Rovers
2010,21,Galway United,3-4,UCD
2010,21,Bray Wanderers,0-3,Sligo Rovers
2010,21,Drogheda United,0-3,Derry City
2010,21,Dundalk FC,1-3,Bohemians
2010,21,Shamrock Rovers,1-0,St. Pat's
