Season,Matchday,Home Team,Score,Away Team
2012,1,Dundalk FC,0-0,Shamrock Rovers
2012,1,Bohemians,2-1,UCD
2012,1,Bray Wanderers,1-0,Shelbourne
2012,1,St. Pat's,1-0,Drogheda United
2012,1,Derry City,0-1,Sligo Rovers
2012,1,Limerick FC,0-0,Cork City
2012,2,Shamrock Rovers,3-0,St. Pat's
2012,2,UCD,0-6,Derry City
2012,2,Drogheda United,2-2,Limerick FC
2012,2,Cork City,2-1,Bohemians
2012,2,Shelbourne,1-3,Dundalk FC
2012,2,Sligo Rovers,3-0,Bray Wanderers
2012,3,Bray Wanderers,1-2,Cork City
2012,3,St. Pat's,4-0,Shelbourne
2012,3,Limerick FC,3-1,UCD
2012,3,Derry City,1-1,Drogheda United
2012,3,Bohemians,0-0,Shamrock Rovers
2012,3,Dundalk FC,1-3,Sligo Rovers
2012,4,UCD,1-2,Dundalk FC
2012,4,Sligo Rovers,2-1,Limerick FC
2012,4,Drogheda United,2-1,Bray Wanderers
2012,4,Cork City,0-1,Derry City
2012,4,Shelbourne,0-0,Shamrock Rovers
2012,4,St. Pat's,1-1,Bohemians
2012,5,Shamrock Rovers,1-1,Cork City
2012,5,Limerick FC,0-1,St. Pat's
2012,5,Bray Wanderers,2-2,UCD
2012,5,Bohemians,0-3,Sligo Rovers
2012,5,Dundalk FC,2-2,Drogheda United
2012,5,Derry City,4-0,Shelbourne
2012,6,Drogheda United,1-1,Cork City
2012,6,Derry City,2-0,Bray Wanderers
2012,6,Shelbourne,0-1,Bohemians
2012,6,UCD,0-3,Sligo Rovers
2012,6,Limerick FC,1-1,Shamrock Rovers
2012,6,St. Pat's,1-2,Dundalk FC
2012,7,Bray Wanderers,0-1,St. Pat's
2012,7,Sligo Rovers,2-0,Shelbourne
2012,7,Shamrock Rovers,1-1,Drogheda United
2012,7,Dundalk FC,2-2,Limerick FC
2012,7,Bohemians,0-4,Derry City
2012,7,Cork City,2-1,UCD
2012,8,Sligo Rovers,2-0,Cork City
2012,8,UCD,0-1,St. Pat's
2012,8,Dundalk FC,1-3,Derry City
2012,8,Shamrock Rovers,7-0,Bray Wanderers
2012,8,Shelbourne,1-3,Drogheda United
2012,8,Limerick FC,2-1,Bohemians
2012,9,Drogheda United,3-2,UCD
2012,9,Bray Wanderers,0-4,Limerick FC
2012,9,Cork City,1-1,Shelbourne
2012,9,Bohemians,0-2,Dundalk FC
2012,9,Derry City,2-1,Shamrock Rovers
2012,9,St. Pat's,2-0,Sligo Rovers
2012,10,Dundalk FC,2-0,Cork City
2012,10,Bohemians,3-2,Bray Wanderers
2012,10,St. Pat's,1-1,Derry City
2012,10,UCD,2-0,Shamrock Rovers
2012,10,Limerick FC,0-0,Shelbourne
2012,10,Sligo Rovers,2-2,Drogheda United
2012,11,Shamrock Rovers,1-1,Sligo Rovers
2012,11,Shelbourne,2-0,UCD
2012,11,Derry City,2-1,Limerick FC
2012,11,Drogheda United,2-2,Bohemians
2012,11,Bray Wanderers,0-1,Dundalk FC
2012,11,Cork City,0-2,St. Pat's
2012,12,Drogheda United,1-2,St. Pat's
2012,12,Cork City,2-3,Limerick FC
2012,12,Sligo Rovers,3-0,Derry City
2012,12,Shelbourne,1-2,Bray Wanderers
2012,12,Shamrock Rovers,1-0,Dundalk FC
2012,12,UCD,1-0,Bohemians
2012,13,St. Pat's,0-0,Shamrock Rovers
2012,13,Limerick FC,0-1,Drogheda United
2012,13,Bohemians,1-2,Cork City
2012,13,Derry City,2-4,UCD
2012,13,Bray Wanderers,0-0,Sligo Rovers
2012,13,Dundalk FC,1-0,Shelbourne
2012,14,Shamrock Rovers,1-1,Bohemians
2012,14,Cork City,1-3,Bray Wanderers
2012,14,UCD,1-1,Limerick FC
2012,14,Drogheda United,2-3,Derry City
2012,14,Shelbourne,0-3,St. Pat's
2012,14,Sligo Rovers,0-1,Dundalk FC
2012,15,Bohemians,0-2,St. Pat's
2012,15,Limerick FC,0-0,Sligo Rovers
2012,15,Bray Wanderers,3-2,Drogheda United
2012,15,Derry City,1-1,Cork City
2012,15,Dundalk FC,2-3,UCD
2012,15,Shamrock Rovers,1-0,Shelbourne
2012,16,Shelbourne,0-1,Derry City
2012,16,UCD,4-5,Bray Wanderers
2012,16,Cork City,1-2,Shamrock Rovers
2012,16,St. Pat's,3-0,Limerick FC
2012,16,Sligo Rovers,0-0,Bohemians
2012,16,Drogheda United,0-1,Dundalk FC
2012,17,Shamrock Rovers,1-0,Limerick FC
2012,17,Sligo Rovers,5-2,UCD
2012,17,Bohemians,0-3,Shelbourne
2012,17,Cork City,1-0,Drogheda United
2012,17,Dundalk FC,2-1,St. Pat's
2012,17,Bray Wanderers,2-3,Derry City
2012,18,St. Pat's,2-0,Bray Wanderers
2012,18,Derry City,2-1,Bohemians
2012,18,Drogheda United,0-3,Shamrock Rovers
2012,18,UCD,3-0,Cork City
2012,18,Shelbourne,0-2,Sligo Rovers
2012,18,Limerick FC,3-2,Dundalk FC
2012,19,Drogheda United,0-0,Shelbourne
2012,19,Bray Wanderers,0-0,Shamrock Rovers
2012,19,Derry City,0-1,Dundalk FC
2012,19,Cork City,3-1,Sligo Rovers
2012,19,St. Pat's,5-0,UCD
2012,19,Bohemians,0-1,Limerick FC
2012,20,Limerick FC,4-4,Bray Wanderers
2012,20,Dundalk FC,3-0,Bohemians
2012,20,Shamrock Rovers,2-1,Derry City
2012,20,Shelbourne,2-1,Cork City
2012,20,UCD,2-2,Drogheda United
2012,20,Sligo Rovers,1-1,St. Pat's
2012,21,Derry City,0-1,St. Pat's
2012,21,Drogheda United,1-1,Sligo Rovers
2012,21,Cork City,2-2,Dundalk FC
2012,21,Shamrock Rovers,1-1,UCD
2012,21,Shelbourne,2-1,Limerick FC
2012,21,Bray Wanderers,1-3,Bohemians
2012,22,St. Pat's,2-1,Cork City
2012,22,Dundalk FC,1-0,Bray Wanderers
2012,22,UCD,1-2,Shelbourne
2012,22,Bohemians,1-1,Drogheda United
2012,22,Sligo Rovers,0-0,Shamrock Rovers
2012,22,Limerick FC,0-1,Derry City
2012,23,Bray Wanderers,1-1,Shelbourne
2012,23,Limerick FC,2-1,Cork City
2012,23,Bohemians,1-3,UCD
2012,23,St. Pat's,0-0,Drogheda United
2012,23,Dundalk FC,3-1,Shamrock Rovers
2012,23,Derry City,1-2,Sligo Rovers
2012,24,Cork City,1-0,Bohemians
2012,24,Drogheda United,3-0,Limerick FC
2012,24,UCD,1-3,Derry City
2012,24,Shelbourne,1-2,Dundalk FC
2012,24,Shamrock Rovers,0-4,St. Pat's
2012,24,Sligo Rovers,2-0,Bray Wanderers
2012,25,Bray Wanderers,1-2,Cork City
2012,25,Limerick FC,1-3,UCD
2012,25,Dundalk FC,2-0,Sligo Rovers
2012,25,St. Pat's,1-0,Shelbourne
2012,25,Derry City,0-2,Drogheda United
2012,25,Bohemians,1-0,Shamrock Rovers
2012,26,Drogheda United,2-0,Bray Wanderers
