Season,Matchday,Home Team,Score,Away Team
2005,1,Derry City,2-0,UCD
2005,1,Bray Wanderers,2-2,Shelbourne
2005,1,Bohemians,0-1,Drogheda United
2005,1,St. Pat's,0-0,Waterford Utd
2005,1,Longford Town,0-0,Sligo Rovers
2005,2,Waterford Utd,1-1,Bray Wanderers
2005,2,UCD,0-1,St. Pat's
2005,2,Shelbourne,0-0,Longford Town
2005,2,Sligo Rovers,1-0,Bohemians
2005,2,Drogheda United,0-0,Cork City
2005,3,Bray Wanderers,1-0,Longford Town
2005,3,St. Pat's,2-2,Shelbourne
2005,3,Cork City,1-0,Bohemians
2005,3,Derry City,3-1,Sligo Rovers
2005,3,Waterford Utd,0-1,UCD
2005,4,UCD,0-0,Cork City
2005,4,Drogheda United,1-0,Bray Wanderers
2005,4,Bohemians,4-2,Waterford Utd
2005,4,Sligo Rovers,1-1,St. Pat's
2005,4,Shelbourne,1-0,Derry City
2005,5,UCD,4-1,Bray Wanderers
2005,5,Waterford Utd,0-1,Shelbourne
2005,5,St. Pat's,0-1,Drogheda United
2005,5,Derry City,1-0,Bohemians
2005,5,Cork City,2-1,Longford Town
2005,6,Drogheda United,1-0,UCD
2005,6,Bray Wanderers,0-0,Cork City
2005,6,Bohemians,0-0,St. Pat's
2005,6,Sligo Rovers,3-1,Waterford Utd
2005,6,Longford Town,0-1,Derry City
2005,7,Derry City,1-2,Drogheda United
2005,7,Cork City,2-0,Sligo Rovers
2005,7,UCD,1-2,Shelbourne
2005,7,St. Pat's,3-0,Bray Wanderers
2005,7,Waterford Utd,0-0,Longford Town
2005,8,Bohemians,2-1,UCD
2005,8,Waterford Utd,1-2,Derry City
2005,8,St. Pat's,2-0,Cork City
2005,8,Drogheda United,1-0,Longford Town
2005,8,Sligo Rovers,1-1,Shelbourne
2005,9,Longford Town,3-1,Bohemians
2005,9,UCD,3-0,Sligo Rovers
2005,9,Shelbourne,2-1,Drogheda United
2005,9,Derry City,3-0,Bray Wanderers
2005,9,Cork City,2-0,Waterford Utd
2005,10,St. Pat's,1-1,Derry City
2005,10,Bohemians,3-0,Bray Wanderers
2005,10,Sligo Rovers,0-0,Drogheda United
2005,10,Cork City,2-1,Shelbourne
2005,10,UCD,2-2,Longford Town
2005,11,Longford Town,2-0,St. Pat's
2005,11,Bray Wanderers,1-2,Sligo Rovers
2005,11,Drogheda United,4-0,Waterford Utd
2005,11,Shelbourne,2-0,Bohemians
2005,11,Derry City,2-0,Cork City
2005,12,UCD,0-0,Derry City
2005,12,Drogheda United,1-0,Bohemians
2005,12,Waterford Utd,1-3,St. Pat's
2005,12,Shelbourne,4-1,Bray Wanderers
2005,12,Sligo Rovers,3-1,Longford Town
2005,13,St. Pat's,0-0,UCD
2005,13,Longford Town,0-0,Shelbourne
2005,13,Bray Wanderers,3-1,Waterford Utd
2005,13,Cork City,1-0,Drogheda United
2005,13,Bohemians,0-2,Sligo Rovers
2005,14,Sligo Rovers,3-1,Derry City
2005,14,UCD,2-1,Waterford Utd
2005,14,Bohemians,0-0,Cork City
2005,14,Longford Town,1-0,Bray Wanderers
2005,14,Shelbourne,3-0,St. Pat's
2005,15,Derry City,2-0,Shelbourne
2005,15,Bray Wanderers,0-1,Drogheda United
2005,15,Cork City,1-0,UCD
2005,15,Waterford Utd,1-3,Bohemians
2005,15,St. Pat's,3-1,Sligo Rovers
2005,16,Bohemians,1-2,Derry City
2005,16,Drogheda United,2-1,St. Pat's
2005,16,Longford Town,0-2,Cork City
2005,16,Bray Wanderers,1-1,UCD
2005,16,Shelbourne,5-1,Waterford Utd
2005,17,Cork City,6-0,Bray Wanderers
2005,17,Derry City,1-0,Longford Town
2005,17,UCD,0-0,Drogheda United
2005,17,St. Pat's,0-1,Bohemians
2005,17,Waterford Utd,1-2,Sligo Rovers
2005,18,Shelbourne,6-0,UCD
2005,18,Longford Town,3-0,Waterford Utd
2005,18,Bray Wanderers,1-2,St. Pat's
