Season,Matchday,Home Team,Score,Away Team
1997,1,Dundalk FC,0-2,Sligo Rovers
1997,1,Waterford Utd,1-0,UCD
1997,1,Bohemians,2-3,Finn Harps
1997,1,Shelbourne,2-2,Shamrock Rovers
1997,1,Derry City,0-1,St. Pat's
1997,1,Bray Wanderers,0-1,Cork City
1997,2,Shamrock Rovers,0-1,Bray Wanderers
1997,2,St. Pat's,3-1,Dundalk FC
1997,2,Sligo Rovers,2-2,Bohemians
1997,2,Finn Harps,1-2,Waterford Utd
1997,2,Cork City,2-1,Derry City
1997,2,UCD,1-1,Shelbourne
1997,3,Derry City,5-1,Bray Wanderers
1997,3,UCD,2-0,Sligo Rovers
1997,3,Waterford Utd,0-2,St. Pat's
1997,3,Shelbourne,0-0,Finn Harps
1997,3,Dundalk FC,1-1,Shamrock Rovers
1997,3,Bohemians,0-2,Cork City
1997,4,St. Pat's,3-0,Bohemians
1997,4,Sligo Rovers,1-1,Waterford Utd
1997,4,Bray Wanderers,1-0,Shelbourne
1997,4,Cork City,4-1,Dundalk FC
1997,4,Finn Harps,0-0,UCD
1997,4,Shamrock Rovers,0-0,Derry City
1997,5,Finn Harps,2-1,St. Pat's
1997,5,UCD,0-1,Cork City
1997,5,Shelbourne,1-1,Sligo Rovers
1997,5,Dundalk FC,2-2,Derry City
1997,5,Bohemians,1-2,Bray Wanderers
1997,5,Waterford Utd,1-1,Shamrock Rovers
1997,6,Shamrock Rovers,3-0,Bohemians
1997,6,St. Pat's,1-0,UCD
1997,6,Sligo Rovers,1-1,Finn Harps
1997,6,Bray Wanderers,0-0,Dundalk FC
1997,6,Cork City,5-0,Waterford Utd
1997,6,Derry City,0-1,Shelbourne
1997,7,Bohemians,1-0,Dundalk FC
1997,7,Shelbourne,0-1,St. Pat's
1997,7,UCD,3-1,Bray Wanderers
1997,7,Finn Harps,2-1,Shamrock Rovers
1997,7,Sligo Rovers,0-2,Cork City
1997,7,Waterford Utd,1-2,Derry City
1997,8,Cork City,2-0,Finn Harps
1997,8,Dundalk FC,1-2,Shelbourne
1997,8,Shamrock Rovers,2-0,UCD
1997,8,St. Pat's,4-1,Sligo Rovers
1997,8,Bray Wanderers,6-0,Waterford Utd
1997,8,Derry City,0-2,Bohemians
1997,9,Finn Harps,6-2,Bray Wanderers
1997,9,Sligo Rovers,2-3,Shamrock Rovers
1997,9,Shelbourne,2-1,Bohemians
1997,9,Waterford Utd,1-0,Dundalk FC
1997,9,UCD,2-2,Derry City
1997,9,St. Pat's,2-0,Cork City
1997,10,Dundalk FC,2-0,UCD
1997,10,Bray Wanderers,1-1,Sligo Rovers
1997,10,Shamrock Rovers,2-1,St. Pat's
1997,10,Derry City,2-1,Finn Harps
1997,10,Bohemians,0-1,Waterford Utd
1997,10,Cork City,2-1,Shelbourne
1997,11,UCD,2-0,Bohemians
1997,11,Cork City,3-1,Shamrock Rovers
1997,11,Finn Harps,0-0,Dundalk FC
1997,11,Shelbourne,1-0,Waterford Utd
1997,11,St. Pat's,3-0,Bray Wanderers
1997,11,Sligo Rovers,3-3,Derry City
1997,12,Dundalk FC,0-0,Finn Harps
1997,12,Bray Wanderers,1-4,St. Pat's
1997,12,Waterford Utd,0-0,Shelbourne
1997,12,Bohemians,3-0,UCD
1997,12,Derry City,2-0,Sligo Rovers
1997,12,Shamrock Rovers,0-3,Cork City
1997,13,Cork City,3-0,Bray Wanderers
1997,13,UCD,1-1,Waterford Utd
1997,13,Finn Harps,1-0,Bohemians
1997,13,St. Pat's,1-0,Derry City
1997,13,Shamrock Rovers,2-1,Shelbourne
1997,13,Sligo Rovers,2-0,Dundalk FC
1997,14,Dundalk FC,2-0,St. Pat's
1997,14,Bohemians,0-1,Sligo Rovers
1997,14,Shelbourne,1-1,UCD
1997,14,Waterford Utd,0-3,Finn Harps
1997,14,Bray Wanderers,3-4,Shamrock Rovers
1997,14,Derry City,1-1,Cork City
1997,15,Shamrock Rovers,1-1,Dundalk FC
1997,15,St. Pat's,2-0,Waterford Utd
1997,15,Bray Wanderers,0-1,Derry City
1997,15,Sligo Rovers,0-1,UCD
1997,15,Finn Harps,3-2,Shelbourne
1997,15,Cork City,0-0,Bohemians
1997,16,Shelbourne,1-0,Bray Wanderers
1997,16,Dundalk FC,1-1,Cork City
1997,16,UCD,3-0,Finn Harps
1997,16,Bohemians,1-1,St. Pat's
1997,16,Waterford Utd,1-1,Sligo Rovers
1997,16,Derry City,1-1,Shamrock Rovers
1997,17,Cork City,1-2,UCD
1997,17,Shamrock Rovers,0-0,Waterford Utd
1997,17,Bray Wanderers,0-1,Bohemians
1997,17,Derry City,0-1,Dundalk FC
1997,17,Sligo Rovers,1-3,Shelbourne
1997,17,St. Pat's,2-2,Finn Harps
1997,18,Shelbourne,2-0,Derry City
1997,18,Dundalk FC,0-1,Bray Wanderers
1997,18,UCD,2-2,St. Pat's
1997,18,Waterford Utd,0-2,Cork City
1997,18,Bohemians,1-1,Shamrock Rovers
1997,18,Finn Harps,1-1,Sligo Rovers
1997,19,Cork City,1-0,Sligo Rovers
1997,19,Shamrock Rovers,2-0,Finn Harps
1997,19,Bray Wanderers,0-0,UCD
1997,19,Derry City,1-0,Waterford Utd
1997,19,St. Pat's,2-1,Shelbourne
1997,19,Dundalk FC,0-1,Bohemians
1997,20,Finn Harps,1-1,Cork City
1997,20,Sligo Rovers,1-4,St. Pat's
1997,20,UCD,0-2,Shamrock Rovers
1997,20,Shelbourne,1-2,Dundalk FC
1997,20,Waterford Utd,1-0,Bray Wanderers
1997,20,Bohemians,0-1,Derry City
1997,21,Dundalk FC,2-0,Waterford Utd
1997,21,Shamrock Rovers,1-1,Sligo Rovers
1997,21,Cork City,1-2,St. Pat's
1997,21,Derry City,2-0,UCD
1997,21,Bohemians,2-0,Shelbourne
1997,21,Bray Wanderers,0-0,Finn Harps
1997,22,St. Pat's,3-0,Shamrock Rovers
1997,22,Waterford Utd,0-0,Bohemians
1997,22,Sligo Rovers,0-0,Bray Wanderers
1997,22,Finn Harps,2-2,Derry City
1997,22,Shelbourne,3-3,Cork City
1997,22,UCD,0-0,Dundalk FC
1997,23,Derry City,0-0,St. Pat's
1997,23,Bohemians,0-1,Finn Harps
1997,23,Waterford Utd,1-2,UCD
1997,23,Shelbourne,1-0,Shamrock Rovers
1997,23,Bray Wanderers,1-3,Cork City
1997,23,Dundalk FC,3-2,Sligo Rovers
1997,24,Shamrock Rovers,0-0,Bray Wanderers
1997,24,St. Pat's,1-0,Dundalk FC
1997,24,Sligo Rovers,2-1,Bohemians
1997,24,Finn Harps,2-0,Waterford Utd
1997,24,Cork City,0-1,Derry City
1997,24,UCD,0-1,Shelbourne
1997,25,Derry City,1-1,Bray Wanderers
1997,25,Bohemians,0-2,Cork City
1997,25,UCD,0-0,Sligo Rovers
1997,25,Shelbourne,2-0,Finn Harps
