Season,Matchday,Home Team,Score,Away Team
2015,1,Cork City,2-0,Bohemians
2015,1,St. Pat's,1-3,Galway United
2015,1,Finn Harps,2-1,Derry City
2015,1,Wexford Youths,0-2,Longford Town
2015,1,Bray Wanderers,1-3,Dundalk FC
2015,1,Sligo Rovers,0-2,Shamrock Rovers
2015,2,Dundalk FC,3-0,Finn Harps
2015,2,Derry City,1-0,Cork City
2015,2,Bohemians,1-0,Sligo Rovers
2015,2,Galway United,4-0,Bray Wanderers
2015,2,Shamrock Rovers,2-0,Wexford Youths
2015,2,Longford Town,0-1,St. Pat's
2015,3,Finn Harps,0-1,Shamrock Rovers
2015,3,Wexford Youths,1-2,Dundalk FC
2015,3,Sligo Rovers,1-1,Galway United
2015,3,Cork City,6-0,Longford Town
2015,3,St. Pat's,3-0,Bohemians
2015,3,Bray Wanderers,0-3,Derry City
2015,4,Bohemians,3-3,Wexford Youths
2015,4,Dundalk FC,0-1,Cork City
2015,4,Derry City,2-1,Galway United
2015,4,Shamrock Rovers,0-2,St. Pat's
2015,4,Longford Town,1-1,Bray Wanderers
2015,4,Sligo Rovers,1-1,Finn Harps
2015,5,Finn Harps,1-0,Longford Town
2015,5,Cork City,2-0,Shamrock Rovers
2015,5,Bray Wanderers,4-0,Sligo Rovers
2015,5,Galway United,1-0,Bohemians
2015,5,St. Pat's,0-4,Dundalk FC
2015,5,Wexford Youths,1-2,Derry City
2015,6,Dundalk FC,1-1,Derry City
2015,6,Bohemians,2-0,Longford Town
2015,6,Wexford Youths,2-0,Bray Wanderers
2015,6,Shamrock Rovers,2-0,Galway United
2015,6,Sligo Rovers,0-0,Cork City
2015,6,Finn Harps,1-2,St. Pat's
2015,7,Derry City,3-0,Shamrock Rovers
2015,7,Longford Town,0-4,Dundalk FC
2015,7,Bray Wanderers,0-2,Bohemians
2015,7,St. Pat's,1-1,Sligo Rovers
2015,7,Cork City,1-1,Wexford Youths
2015,7,Galway United,1-0,Finn Harps
2015,8,Finn Harps,1-0,Bray Wanderers
2015,8,Galway United,2-2,Cork City
2015,8,Dundalk FC,1-0,Sligo Rovers
2015,8,Bohemians,0-4,Shamrock Rovers
2015,8,St. Pat's,4-0,Wexford Youths
2015,8,Longford Town,1-1,Derry City
2015,9,Bray Wanderers,1-0,St. Pat's
2015,9,Sligo Rovers,3-0,Longford Town
2015,9,Wexford Youths,0-2,Galway United
2015,9,Shamrock Rovers,0-2,Dundalk FC
2015,9,Derry City,1-0,Bohemians
2015,9,Cork City,3-1,Finn Harps
2015,10,Derry City,0-2,Sligo Rovers
2015,10,Cork City,1-0,St. Pat's
2015,10,Bohemians,0-2,Dundalk FC
2015,10,Galway United,2-2,Longford Town
2015,10,Wexford Youths,1-1,Finn Harps
2015,10,Shamrock Rovers,2-0,Bray Wanderers
2015,11,Sligo Rovers,4-1,Wexford Youths
2015,11,Longford Town,0-2,Shamrock Rovers
2015,11,Bray Wanderers,0-2,Cork City
2015,11,Finn Harps,0-0,Bohemians
2015,11,St. Pat's,0-1,Derry City
2015,11,Dundalk FC,2-1,Galway United
2015,12,Derry City,2-2,Finn Harps
2015,12,Dundalk FC,1-0,Bray Wanderers
2015,12,Bohemians,0-1,Cork City
2015,12,Galway United,0-3,St. Pat's
2015,12,Longford Town,2-4,Wexford Youths
2015,12,Shamrock Rovers,3-0,Sligo Rovers
2015,13,Bray Wanderers,1-2,Galway United
2015,13,Sligo Rovers,1-0,Bohemians
2015,13,St. Pat's,3-3,Longford Town
2015,13,Wexford Youths,2-0,Shamrock Rovers
2015,13,Cork City,2-1,Derry City
2015,13,Finn Harps,0-7,Dundalk FC
2015,14,Shamrock Rovers,1-1,Finn Harps
2015,14,Longford Town,0-3,Cork City
2015,14,Bohemians,5-1,St. Pat's
2015,14,Galway United,1-2,Sligo Rovers
2015,14,Dundalk FC,3-2,Wexford Youths
2015,14,Derry City,2-0,Bray Wanderers
2015,15,Bray Wanderers,0-0,Longford Town
2015,15,Galway United,0-0,Derry City
2015,15,St. Pat's,0-2,Shamrock Rovers
2015,15,Wexford Youths,0-1,Bohemians
2015,15,Cork City,1-0,Dundalk FC
2015,15,Finn Harps,3-0,Sligo Rovers
2015,16,Derry City,1-0,Wexford Youths
2015,16,Sligo Rovers,0-0,Bray Wanderers
2015,16,Shamrock Rovers,0-0,Cork City
2015,16,Bohemians,1-1,Galway United
2015,16,Dundalk FC,2-0,St. Pat's
2015,16,Longford Town,0-2,Finn Harps
2015,17,Cork City,1-2,Sligo Rovers
2015,17,Galway United,0-1,Shamrock Rovers
2015,17,Longford Town,0-1,Bohemians
2015,17,Bray Wanderers,3-0,Wexford Youths
2015,17,Derry City,0-5,Dundalk FC
2015,17,St. Pat's,4-0,Finn Harps
2015,18,Dundalk FC,4-3,Longford Town
2015,18,Bohemians,0-0,Bray Wanderers
2015,18,Finn Harps,1-0,Galway United
2015,18,Sligo Rovers,1-0,St. Pat's
2015,18,Wexford Youths,0-1,Cork City
2015,18,Shamrock Rovers,0-1,Derry City
2015,19,Cork City,5-3,Galway United
2015,19,Sligo Rovers,0-1,Dundalk FC
2015,19,Wexford Youths,0-1,St. Pat's
2015,19,Shamrock Rovers,3-1,Bohemians
2015,19,Derry City,4-0,Longford Town
2015,19,Bray Wanderers,1-0,Finn Harps
2015,20,Galway United,4-2,Wexford Youths
2015,20,Bohemians,0-1,Derry City
2015,20,Longford Town,2-2,Sligo Rovers
2015,20,St. Pat's,1-2,Bray Wanderers
2015,20,Finn Harps,0-1,Cork City
2015,20,Dundalk FC,1-1,Shamrock Rovers
2015,21,St. Pat's,3-1,Cork City
2015,21,Dundalk FC,2-1,Bohemians
2015,21,Longford Town,1-1,Galway United
2015,21,Finn Harps,0-1,Wexford Youths
2015,21,Sligo Rovers,0-0,Derry City
2015,21,Bray Wanderers,1-1,Shamrock Rovers
2015,22,Bohemians,2-0,Finn Harps
2015,22,Derry City,1-1,St. Pat's
2015,22,Galway United,1-0,Dundalk FC
2015,22,Shamrock Rovers,2-1,Longford Town
2015,22,Wexford Youths,0-5,Sligo Rovers
2015,22,Cork City,4-0,Bray Wanderers
2015,23,Wexford Youths,2-0,Longford Town
2015,23,Finn Harps,0-5,Derry City
2015,23,St. Pat's,1-0,Galway United
2015,23,Cork City,0-0,Bohemians
2015,23,Sligo Rovers,3-2,Shamrock Rovers
2015,23,Bray Wanderers,2-1,Dundalk FC
2015,24,Bohemians,3-2,Sligo Rovers
2015,24,Derry City,0-0,Cork City
2015,24,Longford Town,0-1,St. Pat's
2015,24,Shamrock Rovers,3-1,Wexford Youths
2015,24,Galway United,0-2,Bray Wanderers
2015,24,Dundalk FC,2-0,Finn Harps
2015,25,Sligo Rovers,2-1,Galway United
2015,25,Wexford Youths,0-1,Dundalk FC
2015,25,Bray Wanderers,2-2,Derry City
2015,25,St. Pat's,0-1,Bohemians
2015,25,Cork City,5-2,Longford Town
2015,25,Finn Harps,0-2,Shamrock Rovers
2015,26,Shamrock Rovers,0-0,St. Pat's
2015,26,Derry City,0-0,Galway United
2015,26,Longford Town,0-2,Bray Wanderers
2015,26,Bohemians,1-0,Wexford Youths
2015,26,Sligo Rovers,0-0,Finn Harps
2015,26,Dundalk FC,2-1,Cork City
2015,27,St. Pat's,5-2,Dundalk FC
2015,27,Bray Wanderers,4-0,Sligo Rovers
2015,27,Finn Harps,0-1,Longford Town
2015,27,Wexford Youths,0-0,Derry City
2015,27,Cork City,3-0,Shamrock Rovers
2015,27,Galway United,2-0,Bohemians
2015,28,Bohemians,1-0,Longford Town
2015,28,Dundalk FC,3-1,Derry City
2015,28,Wexford Youths,1-3,Bray Wanderers
2015,28,Shamrock Rovers,4-2,Galway United
2015,28,Sligo Rovers,0-0,Cork City
2015,28,Finn Harps,1-1,St. Pat's
2015,29,Cork City,5-0,Wexford Youths
2015,29,Galway United,3-2,Finn Harps
2015,29,Longford Town,0-3,Dundalk FC
2015,29,Derry City,2-2,Shamrock Rovers
2015,29,St. Pat's,0-0,Sligo Rovers
2015,29,Bray Wanderers,2-1,Bohemians
2015,30,St. Pat's,4-1,Wexford Youths
2015,30,Bohemians,1-0,Shamrock Rovers
2015,30,Finn Harps,2-1,Bray Wanderers
2015,30,Dundalk FC,0-3,Sligo Rovers
2015,30,Galway United,0-5,Cork City
2015,30,Longford Town,2-3,Derry City
2015,31,Wexford Youths,5-4,Galway United
2015,31,Sligo Rovers,1-0,Longford Town
2015,31,Shamrock Rovers,0-3,Dundalk FC
2015,31,Bray Wanderers,2-1,St. Pat's
2015,31,Cork City,2-0,Finn Harps
2015,31,Derry City,2-1,Bohemians
2015,32,Bohemians,1-2,Dundalk FC
2015,32,Galway United,0-0,Longford Town
2015,32,Cork City,3-1,St. Pat's
2015,32,Derry City,2-1,Sligo Rovers
2015,32,Shamrock Rovers,0-0,Bray Wanderers
2015,32,Wexford Youths,0-0,Finn Harps
2015,33,Finn Harps,1-0,Bohemians
2015,33,Bray Wanderers,4-1,Cork City
2015,33,St. Pat's,0-2,Derry City
2015,33,Dundalk FC,4-1,Galway United
2015,33,Sligo Rovers,5-0,Wexford Youths
2015,33,Longford Town,2-4,Shamrock Rovers
