Season,Matchday,Home Team,Score,Away Team
2013,1,UCD,0-3,Bohemians
2013,1,Cork City,1-1,St. Pat's
2013,1,Drogheda United,4-1,Dundalk FC
2013,1,Limerick FC,0-0,Bray Wanderers
2013,1,Sligo Rovers,2-1,Athlone Town
2013,1,Shamrock Rovers,1-1,Derry City
2013,2,Bohemians,2-2,Drogheda United
2013,2,Athlone Town,1-4,Shamrock Rovers
2013,2,Bray Wanderers,1-0,Sligo Rovers
2013,2,St. Pat's,3-2,UCD
2013,2,Dundalk FC,2-1,Limerick FC
2013,2,Derry City,0-1,Cork City
2013,3,Sligo Rovers,0-1,Dundalk FC
2013,3,St. Pat's,1-1,Limerick FC
2013,3,Cork City,3-1,Bray Wanderers
2013,3,Drogheda United,1-1,Derry City
2013,3,Bohemians,1-3,Shamrock Rovers
2013,3,UCD,2-1,Athlone Town
2013,4,Shamrock Rovers,1-0,Sligo Rovers
2013,4,Limerick FC,0-1,Drogheda United
2013,4,Derry City,0-0,St. Pat's
2013,4,Dundalk FC,1-1,Bohemians
2013,4,Bray Wanderers,3-5,UCD
2013,4,Athlone Town,0-3,Cork City
2013,5,Bohemians,1-1,Bray Wanderers
2013,5,UCD,1-1,Limerick FC
2013,5,Cork City,3-0,Shamrock Rovers
2013,5,Drogheda United,3-2,Athlone Town
2013,5,St. Pat's,1-4,Dundalk FC
2013,5,Derry City,1-0,Sligo Rovers
2013,6,Athlone Town,1-3,Bohemians
2013,6,Bray Wanderers,1-3,St. Pat's
2013,6,Dundalk FC,3-0,Derry City
2013,6,Sligo Rovers,1-1,Drogheda United
2013,6,Shamrock Rovers,2-0,UCD
2013,6,Limerick FC,1-2,Cork City
2013,7,Drogheda United,0-2,Bray Wanderers
2013,7,Bohemians,0-1,Limerick FC
2013,7,Derry City,3-2,Athlone Town
2013,7,Cork City,1-1,Sligo Rovers
2013,7,UCD,1-4,Dundalk FC
2013,7,St. Pat's,1-0,Shamrock Rovers
2013,8,St. Pat's,3-1,Bohemians
2013,8,Bray Wanderers,0-0,Derry City
2013,8,Limerick FC,2-1,Athlone Town
2013,8,Sligo Rovers,5-0,UCD
2013,8,Dundalk FC,2-2,Shamrock Rovers
2013,8,Cork City,3-1,Drogheda United
2013,9,Drogheda United,0-4,St. Pat's
2013,9,Shamrock Rovers,2-1,Bray Wanderers
2013,9,Athlone Town,0-1,Dundalk FC
2013,9,Derry City,0-0,Limerick FC
2013,9,UCD,0-1,Cork City
2013,9,Bohemians,0-2,Sligo Rovers
2013,10,Limerick FC,0-3,Sligo Rovers
2013,10,Cork City,1-1,Bohemians
2013,10,St. Pat's,4-0,Athlone Town
2013,10,Derry City,1-1,UCD
2013,10,Drogheda United,2-3,Shamrock Rovers
2013,10,Bray Wanderers,1-0,Dundalk FC
2013,11,Sligo Rovers,2-2,St. Pat's
2013,11,Shamrock Rovers,1-1,Limerick FC
2013,11,UCD,2-1,Drogheda United
2013,11,Bohemians,1-1,Derry City
2013,11,Dundalk FC,4-0,Cork City
2013,11,Athlone Town,0-0,Bray Wanderers
2013,12,Derry City,0-1,Shamrock Rovers
2013,12,St. Pat's,3-2,Cork City
2013,12,Bohemians,0-0,UCD
2013,12,Bray Wanderers,1-0,Limerick FC
2013,12,Athlone Town,0-2,Sligo Rovers
2013,12,Dundalk FC,7-0,Drogheda United
2013,13,Shamrock Rovers,1-0,Athlone Town
2013,13,Sligo Rovers,3-0,Bray Wanderers
2013,13,UCD,1-1,St. Pat's
2013,13,Limerick FC,1-2,Dundalk FC
2013,13,Cork City,2-0,Derry City
2013,13,Drogheda United,1-0,Bohemians
2013,14,Athlone Town,2-0,UCD
2013,14,Dundalk FC,3-0,Sligo Rovers
2013,14,Limerick FC,2-0,St. Pat's
2013,14,Bray Wanderers,0-2,Cork City
2013,14,Derry City,2-0,Drogheda United
2013,14,Shamrock Rovers,0-0,Bohemians
2013,15,UCD,0-0,Bray Wanderers
2013,15,Cork City,1-0,Athlone Town
2013,15,Bohemians,0-2,Dundalk FC
2013,15,Drogheda United,1-4,Limerick FC
2013,15,St. Pat's,5-2,Derry City
2013,15,Sligo Rovers,0-1,Shamrock Rovers
2013,16,Dundalk FC,0-0,St. Pat's
2013,16,Bray Wanderers,0-5,Bohemians
2013,16,Limerick FC,2-1,UCD
2013,16,Athlone Town,6-0,Drogheda United
2013,16,Sligo Rovers,2-2,Derry City
2013,16,Shamrock Rovers,0-2,Cork City
2013,17,Cork City,3-0,Limerick FC
2013,17,Derry City,2-2,Dundalk FC
2013,17,Bohemians,2-2,Athlone Town
2013,17,UCD,0-2,Shamrock Rovers
2013,17,St. Pat's,3-2,Bray Wanderers
2013,17,Drogheda United,1-2,Sligo Rovers
2013,18,Dundalk FC,5-2,UCD
2013,18,Limerick FC,1-2,Bohemians
2013,18,Bray Wanderers,1-3,Drogheda United
2013,18,Shamrock Rovers,2-1,St. Pat's
2013,18,Athlone Town,0-1,Derry City
2013,18,Sligo Rovers,0-0,Cork City
2013,19,Derry City,5-0,Bray Wanderers
2013,19,Shamrock Rovers,0-1,Dundalk FC
2013,19,UCD,1-0,Sligo Rovers
2013,19,Athlone Town,3-0,Limerick FC
2013,19,Drogheda United,0-1,Cork City
2013,19,Bohemians,1-1,St. Pat's
2013,20,St. Pat's,6-0,Drogheda United
2013,20,Bray Wanderers,0-3,Shamrock Rovers
2013,20,Cork City,2-1,UCD
2013,20,Dundalk FC,2-0,Athlone Town
2013,20,Limerick FC,0-4,Derry City
2013,20,Sligo Rovers,3-2,Bohemians
2013,21,Sligo Rovers,2-0,Limerick FC
2013,21,Dundalk FC,5-1,Bray Wanderers
2013,21,UCD,1-6,Derry City
2013,21,Athlone Town,0-2,St. Pat's
2013,21,Bohemians,2-0,Cork City
2013,21,Shamrock Rovers,0-1,Drogheda United
2013,22,Drogheda United,4-0,UCD
2013,22,Bray Wanderers,1-1,Athlone Town
2013,22,St. Pat's,1-0,Sligo Rovers
2013,22,Cork City,1-2,Dundalk FC
2013,22,Limerick FC,4-1,Shamrock Rovers
2013,22,Derry City,4-0,Bohemians
2013,23,Sligo Rovers,3-1,Athlone Town
2013,23,Drogheda United,1-1,Dundalk FC
2013,23,Shamrock Rovers,2-0,Derry City
2013,23,Cork City,1-0,St. Pat's
2013,23,UCD,0-0,Bohemians
2013,23,Limerick FC,4-1,Bray Wanderers
2013,24,Derry City,0-1,Cork City
2013,24,Athlone Town,1-1,Shamrock Rovers
2013,24,Bohemians,2-1,Drogheda United
2013,24,Dundalk FC,1-0,Limerick FC
2013,24,Bray Wanderers,0-1,Sligo Rovers
2013,24,St. Pat's,3-2,UCD
2013,25,Bohemians,1-1,Shamrock Rovers
2013,25,Sligo Rovers,1-1,Dundalk FC
2013,25,Cork City,1-1,Bray Wanderers
2013,25,St. Pat's,0-1,Limerick FC
2013,25,Drogheda United,1-0,Derry City
2013,25,UCD,1-1,Athlone Town
2013,26,Limerick FC,0-3,Drogheda United
2013,26,Bray Wanderers,2-0,UCD
2013,26,Derry City,0-1,St. Pat's
2013,26,Athlone Town,2-2,Cork City
2013,26,Dundalk FC,3-2,Bohemians
2013,26,Shamrock Rovers,1-0,Sligo Rovers
2013,27,Drogheda United,1-1,Athlone Town
2013,27,Bohemians,2-1,Bray Wanderers
2013,27,Derry City,2-1,Sligo Rovers
2013,27,UCD,1-3,Limerick FC
2013,27,St. Pat's,1-0,Dundalk FC
2013,27,Cork City,1-0,Shamrock Rovers
2013,28,Dundalk FC,5-0,Derry City
2013,28,Bray Wanderers,2-4,St. Pat's
2013,28,Athlone Town,0-0,Bohemians
2013,28,Sligo Rovers,0-2,Drogheda United
2013,28,Limerick FC,0-1,Cork City
2013,28,Shamrock Rovers,3-0,UCD
2013,29,UCD,0-2,Dundalk FC
2013,29,Derry City,1-1,Athlone Town
