Season,Matchday,Home Team,Score,Away Team
2018,1,St. Pat's,1-0,Cork City
2018,1,Bohemians,1-0,Finn Harps
2018,1,Waterford FC,1-2,Shamrock Rovers
2018,1,Derry City,3-0,UCD
2018,1,Dundalk FC,1-1,Sligo Rovers
2018,2,Cork City,0-2,Waterford FC
2018,2,Sligo Rovers,0-1,St. Pat's
2018,2,UCD,0-2,Bohemians
2018,2,Finn Harps,1-1,Dundalk FC
2018,2,Shamrock Rovers,2-0,Derry City
2018,3,Dundalk FC,2-1,UCD
2018,3,Derry City,3-2,Waterford FC
2018,3,St. Pat's,0-0,Finn Harps
2018,3,Bohemians,1-0,Shamrock Rovers
2018,3,Sligo Rovers,1-2,Cork City
2018,4,Cork City,0-0,Derry City
2018,4,UCD,1-1,St. Pat's
2018,4,Waterford FC,0-0,Bohemians
2018,4,Finn Harps,1-2,Sligo Rovers
2018,4,Shamrock Rovers,0-0,Dundalk FC
2018,5,Sligo Rovers,1-0,UCD
2018,5,Finn Harps,3-4,Cork City
2018,5,Bohemians,1-1,Derry City
2018,5,Dundalk FC,4-0,Waterford FC
2018,5,St. Pat's,0-1,Shamrock Rovers
2018,6,Cork City,2-0,Bohemians
2018,6,Derry City,0-2,Dundalk FC
2018,6,UCD,3-0,Finn Harps
2018,6,Waterford FC,2-0,St. Pat's
2018,6,Shamrock Rovers,3-0,Sligo Rovers
2018,7,UCD,2-1,Cork City
2018,7,St. Pat's,1-3,Derry City
2018,7,Sligo Rovers,0-0,Waterford FC
2018,7,Finn Harps,0-1,Shamrock Rovers
2018,7,Dundalk FC,1-0,Bohemians
2018,8,Waterford FC,4-0,Finn Harps
2018,8,Bohemians,1-0,St. Pat's
2018,8,Derry City,2-0,Sligo Rovers
2018,8,Dundalk FC,1-0,Cork City
2018,8,Shamrock Rovers,3-1,UCD
2018,9,Sligo Rovers,0-2,Bohemians
2018,9,St. Pat's,1-0,Dundalk FC
2018,9,UCD,4-1,Waterford FC
2018,9,Finn Harps,2-3,Derry City
2018,9,Cork City,1-3,Shamrock Rovers
2018,10,Sligo Rovers,2-1,Dundalk FC
2018,10,Cork City,1-1,St. Pat's
2018,10,UCD,0-2,Derry City
2018,10,Shamrock Rovers,2-1,Waterford FC
2018,10,Finn Harps,0-1,Bohemians
2018,11,Waterford FC,2-0,Cork City
2018,11,Dundalk FC,3-0,Finn Harps
2018,11,Derry City,0-1,Shamrock Rovers
2018,11,Bohemians,3-0,UCD
2018,11,St. Pat's,2-1,Sligo Rovers
2018,12,UCD,1-3,Dundalk FC
2018,12,Waterford FC,2-2,Derry City
2018,12,Finn Harps,0-2,St. Pat's
2018,12,Cork City,0-0,Sligo Rovers
2018,12,Shamrock Rovers,0-1,Bohemians
2018,13,Dundalk FC,2-1,Shamrock Rovers
2018,13,Derry City,2-0,Cork City
2018,13,St. Pat's,2-0,UCD
2018,13,Sligo Rovers,1-1,Finn Harps
2018,13,Bohemians,0-0,Waterford FC
2018,14,Waterford FC,0-3,Dundalk FC
2018,14,Cork City,1-1,Finn Harps
2018,14,Derry City,0-2,Bohemians
2018,14,UCD,0-2,Sligo Rovers
2018,14,Shamrock Rovers,1-0,St. Pat's
2018,15,Finn Harps,3-0,UCD
2018,15,Sligo Rovers,2-1,Shamrock Rovers
2018,15,Dundalk FC,2-2,Derry City
2018,15,Bohemians,0-1,Cork City
2018,15,St. Pat's,0-3,Waterford FC
2018,16,Waterford FC,3-3,Sligo Rovers
2018,16,Shamrock Rovers,3-0,Finn Harps
2018,16,Derry City,1-1,St. Pat's
2018,16,Bohemians,0-2,Dundalk FC
2018,16,Cork City,2-0,UCD
2018,17,UCD,0-1,Shamrock Rovers
2018,17,Finn Harps,3-2,Waterford FC
2018,17,Cork City,0-2,Dundalk FC
2018,17,St. Pat's,1-1,Bohemians
2018,17,Sligo Rovers,0-0,Derry City
2018,18,Dundalk FC,1-0,St. Pat's
2018,18,Derry City,4-0,Finn Harps
2018,18,Shamrock Rovers,2-0,Cork City
2018,18,Waterford FC,1-0,UCD
2018,18,Bohemians,1-2,Sligo Rovers
2018,19,Bohemians,5-3,Finn Harps
2018,19,Dundalk FC,4-0,Sligo Rovers
2018,19,St. Pat's,1-1,Cork City
2018,19,Derry City,0-0,UCD
2018,19,Waterford FC,1-5,Shamrock Rovers
2018,20,Cork City,1-2,Waterford FC
2018,20,UCD,3-0,Bohemians
2018,20,Finn Harps,0-3,Dundalk FC
2018,20,Sligo Rovers,1-1,St. Pat's
2018,20,Shamrock Rovers,2-2,Derry City
2018,21,St. Pat's,1-0,Finn Harps
2018,21,Sligo Rovers,1-1,Cork City
