Season,Matchday,Home Team,Score,Away Team
2007,1,UCD,2-3,Derry City
2007,1,Galway United,0-1,Bohemians
2007,1,Cork City,0-0,Bray Wanderers
2007,1,St. Pat's,3-1,Sligo Rovers
2007,1,Finn Harps,2-1,Cobh Ramblers
2007,1,Drogheda United,0-1,Shamrock Rovers
2007,2,Bohemians,0-1,St. Pat's
2007,2,Bray Wanderers,0-2,UCD
2007,2,Derry City,2-1,Finn Harps
2007,2,Shamrock Rovers,1-1,Cork City
2007,2,Cobh Ramblers,1-1,Galway United
2007,2,Sligo Rovers,0-0,Drogheda United
2007,3,Finn Harps,1-0,UCD
2007,3,Sligo Rovers,1-2,Bohemians
2007,3,Shamrock Rovers,2-0,Bray Wanderers
2007,3,Drogheda United,3-0,Cobh Ramblers
2007,3,Cork City,1-1,Derry City
2007,3,St. Pat's,1-0,Galway United
2007,4,UCD,0-0,Sligo Rovers
2007,4,Bohemians,3-0,Finn Harps
2007,4,Bray Wanderers,0-3,St. Pat's
2007,4,Derry City,2-0,Drogheda United
2007,4,Galway United,0-2,Shamrock Rovers
2007,4,Cobh Ramblers,0-0,Cork City
2007,5,Shamrock Rovers,0-1,Bohemians
2007,5,Sligo Rovers,3-1,Cobh Ramblers
2007,5,St. Pat's,0-1,Derry City
2007,5,Drogheda United,1-0,Galway United
2007,5,Bray Wanderers,1-0,Finn Harps
2007,5,Cork City,1-0,UCD
2007,6,UCD,1-3,Drogheda United
2007,6,Bohemians,1-1,Bray Wanderers
2007,6,Finn Harps,0-3,St. Pat's
2007,6,Derry City,0-0,Sligo Rovers
2007,6,Galway United,1-3,Cork City
2007,6,Cobh Ramblers,2-0,Shamrock Rovers
2007,7,St. Pat's,1-0,Cobh Ramblers
2007,7,Drogheda United,1-2,Bohemians
2007,7,Sligo Rovers,3-0,Galway United
2007,7,Cork City,3-0,Finn Harps
2007,7,Bray Wanderers,1-0,Derry City
2007,7,Shamrock Rovers,1-1,UCD
2007,8,Cork City,0-2,Drogheda United
2007,8,Galway United,2-3,Bray Wanderers
2007,8,Bohemians,0-0,Derry City
2007,8,Finn Harps,0-1,Sligo Rovers
2007,8,Cobh Ramblers,0-0,UCD
2007,8,Shamrock Rovers,0-1,St. Pat's
2007,9,Sligo Rovers,3-2,Shamrock Rovers
2007,9,St. Pat's,3-2,Cork City
2007,9,Drogheda United,1-0,Finn Harps
2007,9,Bray Wanderers,1-0,Cobh Ramblers
2007,9,Derry City,0-0,Galway United
2007,9,UCD,1-1,Bohemians
2007,10,St. Pat's,0-0,UCD
