Season,Matchday,Home Team,Score,Away Team
2007,10,Bray Wanderers,1-0,Drogheda United
2007,10,Shamrock Rovers,1-1,Derry City
2007,10,Cork City,1-0,Sligo Rovers
2007,10,Galway United,2-2,Finn Harps
2007,10,Cobh Ramblers,0-1,Bohemians
2007,11,Bohemians,2-1,Cork City
2007,11,Sligo Rovers,3-0,Bray Wanderers
2007,11,Finn Harps,1-1,Shamrock Rovers
2007,11,UCD,0-1,Galway United
2007,11,Derry City,1-0,Cobh Ramblers
2007,11,Drogheda United,2-2,St. Pat's
2007,12,Derry City,4-1,UCD
2007,12,Bohemians,2-1,Galway United
2007,12,Shamrock Rovers,0-0,Drogheda United
2007,12,Bray Wanderers,0-3,Cork City
2007,12,Sligo Rovers,1-2,St. Pat's
2007,12,Cobh Ramblers,1-3,Finn Harps
2007,13,St. Pat's,0-1,Bohemians
2007,13,Finn Harps,0-2,Derry City
2007,13,Cork City,1-1,Shamrock Rovers
2007,13,Drogheda United,1-1,Sligo Rovers
2007,13,Galway United,0-1,Cobh Ramblers
2007,13,UCD,2-2,Bray Wanderers
2007,14,Bohemians,3-0,Sligo Rovers
2007,14,Bray Wanderers,1-0,Shamrock Rovers
2007,14,UCD,1-0,Finn Harps
2007,14,Galway United,2-2,St. Pat's
2007,14,Cobh Ramblers,0-4,Drogheda United
2007,14,Derry City,2-3,Cork City
2007,15,Drogheda United,0-1,Derry City
2007,15,Cork City,5-0,Cobh Ramblers
2007,15,St. Pat's,1-1,Bray Wanderers
2007,15,Shamrock Rovers,3-1,Galway United
2007,15,Sligo Rovers,0-0,UCD
2007,15,Finn Harps,0-2,Bohemians
2007,16,Finn Harps,1-0,Bray Wanderers
2007,16,UCD,0-2,Cork City
2007,16,Cobh Ramblers,1-3,Sligo Rovers
2007,16,Derry City,0-3,St. Pat's
2007,16,Galway United,0-1,Drogheda United
2007,16,Bohemians,2-1,Shamrock Rovers
2007,17,St. Pat's,5-1,Finn Harps
2007,17,Bray Wanderers,0-2,Bohemians
2007,17,Sligo Rovers,0-0,Derry City
2007,17,Shamrock Rovers,0-0,Cobh Ramblers
2007,17,Drogheda United,2-1,UCD
2007,17,Cork City,3-2,Galway United
2007,18,Derry City,4-0,Bray Wanderers
2007,18,Galway United,1-1,Sligo Rovers
2007,18,UCD,0-2,Shamrock Rovers
2007,18,Finn Harps,0-1,Cork City
2007,18,Cobh Ramblers,0-1,St. Pat's
2007,18,Bohemians,2-0,Drogheda United
2007,19,St. Pat's,1-1,Shamrock Rovers
2007,19,Drogheda United,0-1,Cork City
2007,19,Sligo Rovers,4-1,Finn Harps
2007,19,Derry City,0-0,Bohemians
2007,19,Bray Wanderers,0-1,Galway United
2007,19,UCD,1-1,Cobh Ramblers
2007,20,Shamrock Rovers,1-0,Sligo Rovers
2007,20,Bohemians,2-0,UCD
2007,20,Galway United,0-4,Derry City
2007,20,Cobh Ramblers,1-2,Bray Wanderers
2007,20,Cork City,0-0,St. Pat's
2007,20,Finn Harps,1-3,Drogheda United
2007,21,UCD,0-3,St. Pat's
2007,21,Sligo Rovers,0-1,Cork City
2007,21,Finn Harps,0-2,Galway United
2007,21,Drogheda United,2-0,Bray Wanderers
2007,21,Derry City,0-1,Shamrock Rovers
2007,21,Bohemians,3-0,Cobh Ramblers
2007,22,Cork City,0-1,Bohemians
2007,22,Galway United,1-2,UCD
2007,22,Bray Wanderers,0-0,Sligo Rovers
2007,22,Shamrock Rovers,0-2,Finn Harps
2007,22,Cobh Ramblers,0-3,Derry City
2007,22,St. Pat's,0-1,Drogheda United
2007,23,St. Pat's,1-0,Sligo Rovers
2007,23,Galway United,0-2,Bohemians
2007,23,Drogheda United,1-1,Shamrock Rovers
2007,23,Finn Harps,2-2,Cobh Ramblers
2007,23,Cork City,3-0,Bray Wanderers
2007,23,UCD,1-2,Derry City
2007,24,Bray Wanderers,2-1,UCD
2007,24,Derry City,1-0,Finn Harps
2007,24,Shamrock Rovers,3-0,Cork City
2007,24,Cobh Ramblers,4-1,Galway United
2007,24,Sligo Rovers,3-3,Drogheda United
2007,24,Bohemians,3-0,St. Pat's
2007,25,St. Pat's,0-1,Galway United
2007,25,Drogheda United,0-0,Cobh Ramblers
2007,25,Shamrock Rovers,2-2,Bray Wanderers
2007,25,Sligo Rovers,0-1,Bohemians
2007,25,Finn Harps,2-0,UCD
2007,25,Cork City,1-1,Derry City
2007,26,Galway United,1-1,Shamrock Rovers
2007,26,Bohemians,3-0,Finn Harps
2007,26,UCD,0-1,Sligo Rovers
2007,26,Bray Wanderers,0-1,St. Pat's
2007,26,Derry City,0-1,Drogheda United
2007,26,Cobh Ramblers,1-1,Cork City
2007,27,St. Pat's,2-1,Derry City
2007,27,Sligo Rovers,4-0,Cobh Ramblers
2007,27,Cork City,2-0,UCD
2007,27,Bray Wanderers,0-1,Finn Harps
2007,27,Shamrock Rovers,1-2,Bohemians
2007,27,Drogheda United,1-1,Galway United
2007,28,Finn Harps,0-1,St. Pat's
2007,28,Bohemians,2-1,Bray Wanderers
2007,28,UCD,1-0,Drogheda United
2007,28,Derry City,1-1,Sligo Rovers
2007,28,Galway United,3-2,Cork City
2007,28,Cobh Ramblers,1-0,Shamrock Rovers
2007,29,Sligo Rovers,1-1,Galway United
2007,29,Cork City,1-1,Finn Harps
2007,29,Shamrock Rovers,1-1,UCD
2007,29,St. Pat's,0-3,Cobh Ramblers
2007,29,Drogheda United,1-2,Bohemians
2007,29,Bray Wanderers,2-1,Derry City
2007,30,Finn Harps,0-2,Sligo Rovers
2007,30,Bohemians,0-1,Derry City
2007,30,Cork City,0-0,Drogheda United
2007,30,Galway United,4-0,Bray Wanderers
2007,30,Cobh Ramblers,2-0,UCD
2007,30,Shamrock Rovers,1-3,St. Pat's
2007,31,St. Pat's,0-1,Cork City
2007,31,Sligo Rovers,2-1,Shamrock Rovers
2007,31,Derry City,2-0,Galway United
2007,31,Drogheda United,1-2,Finn Harps
2007,31,Bray Wanderers,3-2,Cobh Ramblers
2007,31,UCD,0-1,Bohemians
2007,32,Galway United,3-0,Finn Harps
2007,32,Bray Wanderers,4-3,Drogheda United
2007,32,Cork City,0-0,Sligo Rovers
2007,32,St. Pat's,2-0,UCD
2007,32,Shamrock Rovers,1-1,Derry City
2007,32,Cobh Ramblers,0-2,Bohemians
2007,33,Derry City,4-2,Cobh Ramblers
2007,33,UCD,0-1,Galway United
2007,33,Drogheda United,0-2,St. Pat's
2007,33,Bohemians,3-1,Cork City
2007,33,Finn Harps,2-0,Shamrock Rovers
2007,33,Sligo Rovers,2-0,Bray Wanderers
