Season,Matchday,Home Team,Score,Away Team
1999,1,Galway United,5-2,Finn Harps
1999,1,Derry City,0-1,Longford Town
1999,1,UCD,2-1,Kilkenny City
1999,1,Cork City,1-0,St. Pat's
1999,1,Shelbourne,0-1,Bray Wanderers
1999,1,Shamrock Rovers,0-0,Bohemians
1999,2,Bohemians,5-0,Galway United
1999,2,Bray Wanderers,1-0,Derry City
1999,2,St. Pat's,1-1,UCD
1999,2,Finn Harps,0-1,Cork City
1999,2,Kilkenny City,1-1,Shamrock Rovers
1999,2,Longford Town,0-1,Shelbourne
1999,3,UCD,0-1,Bohemians
1999,3,Cork City,0-0,Bray Wanderers
1999,3,Derry City,1-1,St. Pat's
1999,3,Shamrock Rovers,3-2,Longford Town
1999,3,Galway United,1-2,Kilkenny City
1999,3,Shelbourne,0-1,Finn Harps
1999,4,St. Pat's,0-2,Shelbourne
1999,4,Bohemians,1-1,Cork City
1999,4,Bray Wanderers,0-1,Galway United
1999,4,Finn Harps,0-0,Shamrock Rovers
1999,4,Kilkenny City,0-2,Derry City
1999,4,Longford Town,2-0,UCD
1999,5,UCD,3-2,Finn Harps
1999,5,Bray Wanderers,2-2,Shamrock Rovers
1999,5,Cork City,0-0,Longford Town
1999,5,Galway United,1-1,St. Pat's
1999,5,Derry City,1-0,Bohemians
1999,5,Shelbourne,1-0,Kilkenny City
1999,6,Shelbourne,4-2,Bohemians
1999,6,Bray Wanderers,1-2,UCD
1999,6,Galway United,1-0,Shamrock Rovers
1999,6,St. Pat's,2-4,Longford Town
1999,6,Finn Harps,1-1,Kilkenny City
1999,6,Cork City,0-2,Derry City
1999,7,Kilkenny City,0-0,Cork City
1999,7,UCD,0-1,Shelbourne
1999,7,Shamrock Rovers,1-2,St. Pat's
1999,7,Longford Town,2-2,Galway United
1999,7,Bohemians,3-1,Bray Wanderers
1999,7,Derry City,3-1,Finn Harps
1999,8,Derry City,0-1,Galway United
1999,8,Bray Wanderers,3-0,Kilkenny City
1999,8,St. Pat's,2-1,Finn Harps
1999,8,Shelbourne,2-2,Shamrock Rovers
1999,8,Cork City,2-1,UCD
1999,8,Longford Town,1-6,Bohemians
1999,9,Shamrock Rovers,4-1,Cork City
1999,9,UCD,0-1,Derry City
1999,9,Finn Harps,1-0,Bray Wanderers
1999,9,Galway United,1-1,Shelbourne
1999,9,Kilkenny City,0-1,Longford Town
1999,9,Bohemians,2-2,St. Pat's
1999,10,Bohemians,1-0,Finn Harps
1999,10,St. Pat's,3-0,Kilkenny City
1999,10,Longford Town,0-1,Bray Wanderers
1999,10,Derry City,1-1,Shelbourne
1999,10,Cork City,2-0,Galway United
1999,10,UCD,2-2,Shamrock Rovers
1999,11,Bohemians,2-1,Kilkenny City
1999,11,Finn Harps,2-2,Longford Town
1999,11,Bray Wanderers,2-2,St. Pat's
1999,11,Shelbourne,2-0,Cork City
1999,11,Galway United,1-4,UCD
1999,11,Shamrock Rovers,2-0,Derry City
1999,12,Bohemians,0-1,Shamrock Rovers
1999,12,St. Pat's,1-1,Cork City
1999,12,Longford Town,1-0,Derry City
1999,12,Kilkenny City,0-1,UCD
1999,12,Finn Harps,1-0,Galway United
1999,12,Bray Wanderers,3-0,Shelbourne
1999,13,Shamrock Rovers,2-1,Kilkenny City
1999,13,UCD,1-1,St. Pat's
1999,13,Cork City,1-0,Finn Harps
1999,13,Shelbourne,1-1,Longford Town
1999,13,Galway United,0-2,Bohemians
