Season,Matchday,Home Team,Score,Away Team
2003,1,Waterford Utd,2-1,Drogheda United
2003,1,Cork City,3-1,Dublin City
2003,1,Shelbourne,1-0,Shamrock Rovers
2003,1,St. Pat's,1-1,Derry City
2003,1,Longford Town,0-2,Bohemians
2003,2,Bohemians,2-2,Waterford Utd
2003,2,Drogheda United,0-1,St. Pat's
2003,2,Shamrock Rovers,2-1,Cork City
2003,2,Dublin City,0-1,Longford Town
2003,2,Derry City,0-2,Shelbourne
2003,3,Derry City,1-0,Shamrock Rovers
2003,3,Longford Town,1-1,Cork City
2003,3,St. Pat's,0-2,Bohemians
2003,3,Waterford Utd,2-1,Dublin City
2003,3,Shelbourne,3-0,Drogheda United
2003,4,Bohemians,1-1,Shelbourne
2003,4,Shamrock Rovers,1-1,Longford Town
2003,4,Cork City,2-3,Waterford Utd
2003,4,Drogheda United,2-0,Derry City
2003,4,Dublin City,1-1,St. Pat's
2003,5,Derry City,0-0,Bohemians
2003,5,St. Pat's,0-2,Cork City
2003,5,Waterford Utd,1-1,Longford Town
2003,5,Drogheda United,1-0,Shamrock Rovers
2003,5,Shelbourne,2-1,Dublin City
2003,6,Cork City,0-2,Shelbourne
2003,6,Shamrock Rovers,4-0,Waterford Utd
2003,6,Longford Town,1-3,St. Pat's
2003,6,Bohemians,0-1,Drogheda United
2003,6,Dublin City,0-2,Derry City
2003,7,Derry City,1-1,Cork City
2003,7,Shelbourne,1-1,Longford Town
2003,7,Drogheda United,2-0,Dublin City
2003,7,St. Pat's,0-1,Waterford Utd
2003,7,Bohemians,2-2,Shamrock Rovers
2003,8,Dublin City,2-1,Bohemians
2003,8,Cork City,0-0,Drogheda United
2003,8,St. Pat's,1-2,Shamrock Rovers
2003,8,Waterford Utd,1-1,Shelbourne
2003,8,Longford Town,1-0,Derry City
2003,9,Derry City,0-1,Waterford Utd
2003,9,Drogheda United,0-1,Longford Town
2003,9,Shelbourne,2-0,St. Pat's
2003,9,Shamrock Rovers,0-0,Dublin City
2003,9,Bohemians,2-3,Cork City
2003,10,Dublin City,0-1,Cork City
2003,10,Bohemians,0-0,Longford Town
2003,10,Drogheda United,0-0,Waterford Utd
2003,10,Shamrock Rovers,3-0,Shelbourne
2003,10,Derry City,0-0,St. Pat's
2003,11,St. Pat's,0-2,Drogheda United
2003,11,Longford Town,0-0,Dublin City
2003,11,Shelbourne,1-0,Derry City
2003,11,Cork City,1-1,Shamrock Rovers
2003,11,Waterford Utd,0-1,Bohemians
2003,12,Shamrock Rovers,1-0,Derry City
2003,12,Cork City,1-0,Longford Town
2003,12,Bohemians,3-1,St. Pat's
2003,12,Dublin City,3-1,Waterford Utd
2003,12,Drogheda United,2-2,Shelbourne
2003,13,Longford Town,1-0,Shamrock Rovers
2003,13,Shelbourne,0-0,Bohemians
2003,13,Derry City,0-2,Drogheda United
2003,13,Waterford Utd,1-1,Cork City
2003,13,St. Pat's,3-1,Dublin City
2003,14,Shamrock Rovers,1-2,Drogheda United
2003,14,Bohemians,3-0,Derry City
2003,14,Longford Town,0-2,Waterford Utd
2003,14,Cork City,2-1,St. Pat's
2003,14,Dublin City,1-3,Shelbourne
2003,15,Derry City,2-1,Dublin City
2003,15,Shelbourne,2-2,Cork City
2003,15,St. Pat's,1-1,Longford Town
2003,15,Drogheda United,0-3,Bohemians
2003,15,Waterford Utd,3-1,Shamrock Rovers
2003,16,Shamrock Rovers,2-1,Bohemians
2003,16,Waterford Utd,0-1,St. Pat's
2003,16,Dublin City,1-1,Drogheda United
2003,16,Cork City,2-1,Derry City
2003,16,Longford Town,0-2,Shelbourne
2003,17,Shelbourne,1-0,Waterford Utd
2003,17,Derry City,0-0,Longford Town
2003,17,Bohemians,2-4,Dublin City
2003,17,Shamrock Rovers,1-2,St. Pat's
2003,17,Drogheda United,2-0,Cork City
2003,18,St. Pat's,1-2,Shelbourne
2003,18,Waterford Utd,0-2,Derry City
2003,18,Longford Town,0-0,Drogheda United
2003,18,Cork City,0-1,Bohemians
2003,18,Dublin City,0-4,Shamrock Rovers
2003,19,St. Pat's,0-1,Derry City
2003,19,Waterford Utd,1-3,Drogheda United
2003,19,Shelbourne,1-1,Shamrock Rovers
