Season,Matchday,Home Team,Score,Away Team
2001,1,Drogheda United,2-1,Derry City
2001,1,Bohemians,2-1,UCD
2001,1,Bray Wanderers,2-2,Longford Town
2001,1,Cork City,3-0,Shelbourne
2001,1,Shamrock Rovers,0-1,St. Pat's
2001,2,St. Pat's,4-1,Cork City
2001,2,UCD,1-1,Bray Wanderers
2001,2,Longford Town,1-2,Bohemians
2001,2,Shelbourne,3-3,Drogheda United
2001,2,Derry City,1-2,Shamrock Rovers
2001,3,Bohemians,3-2,Derry City
2001,3,Cork City,3-2,UCD
2001,3,Drogheda United,1-2,St. Pat's
2001,3,Shamrock Rovers,0-1,Longford Town
2001,3,Bray Wanderers,1-5,Shelbourne
2001,4,St. Pat's,1-2,Bray Wanderers
2001,4,Drogheda United,1-0,Cork City
2001,4,Derry City,1-1,Longford Town
2001,4,UCD,1-3,Shelbourne
2001,4,Bohemians,3-2,Shamrock Rovers
2001,5,Shelbourne,1-2,St. Pat's
2001,5,Longford Town,2-1,Drogheda United
2001,5,Shamrock Rovers,0-0,UCD
2001,5,Cork City,3-1,Derry City
2001,5,Bray Wanderers,1-1,Bohemians
2001,6,UCD,0-2,Derry City
2001,6,Cork City,3-0,Bray Wanderers
2001,6,St. Pat's,1-1,Bohemians
2001,6,Shelbourne,3-0,Longford Town
2001,6,Drogheda United,3-2,Shamrock Rovers
2001,7,Shamrock Rovers,0-0,Shelbourne
2001,7,Bohemians,1-1,Cork City
2001,7,Longford Town,1-1,UCD
2001,7,Derry City,2-0,St. Pat's
2001,7,Bray Wanderers,3-2,Drogheda United
2001,8,Bray Wanderers,3-3,Derry City
2001,8,Shelbourne,1-2,Bohemians
2001,8,St. Pat's,2-2,Longford Town
2001,8,Cork City,3-2,Shamrock Rovers
2001,8,Drogheda United,1-0,UCD
2001,9,Derry City,1-0,Shelbourne
2001,9,Bohemians,3-1,Drogheda United
2001,9,UCD,1-0,St. Pat's
2001,9,Shamrock Rovers,2-1,Bray Wanderers
2001,9,Longford Town,3-2,Cork City
