Season,Matchday,Home Team,Score,Away Team
2017,1,Bohemians,3-1,Shamrock Rovers
2017,1,Waterford FC,2-1,Derry City
2017,1,Dundalk FC,0-0,Bray Wanderers
2017,1,St. Pat's,2-3,Cork City
2017,1,Sligo Rovers,0-1,Limerick FC
2017,2,Bray Wanderers,1-2,St. Pat's
2017,2,Cork City,2-0,Waterford FC
2017,2,Sligo Rovers,2-1,Derry City
2017,2,Shamrock Rovers,0-0,Dundalk FC
2017,2,Limerick FC,1-1,Bohemians
2017,3,Dundalk FC,8-0,Limerick FC
2017,3,Bohemians,0-1,Derry City
2017,3,Waterford FC,2-0,St. Pat's
2017,3,Sligo Rovers,1-4,Cork City
2017,3,Shamrock Rovers,6-0,Bray Wanderers
2017,4,Cork City,3-0,Bohemians
2017,4,Limerick FC,0-1,Shamrock Rovers
2017,4,Bray Wanderers,2-2,Waterford FC
2017,4,Derry City,1-4,Dundalk FC
2017,4,St. Pat's,2-0,Sligo Rovers
2017,5,Dundalk FC,1-0,Cork City
2017,5,Shamrock Rovers,6-1,Derry City
2017,5,Sligo Rovers,1-2,Waterford FC
2017,5,Bohemians,0-1,St. Pat's
2017,5,Limerick FC,1-0,Bray Wanderers
2017,6,St. Pat's,0-0,Dundalk FC
2017,6,Bray Wanderers,1-2,Sligo Rovers
2017,6,Waterford FC,1-0,Bohemians
2017,6,Cork City,1-0,Shamrock Rovers
2017,6,Derry City,5-0,Limerick FC
2017,7,Shamrock Rovers,1-0,St. Pat's
2017,7,Dundalk FC,1-0,Waterford FC
2017,7,Derry City,5-1,Bray Wanderers
2017,7,Bohemians,2-2,Sligo Rovers
2017,7,Limerick FC,1-1,Cork City
2017,8,Waterford FC,2-1,Shamrock Rovers
2017,8,Bohemians,2-1,Bray Wanderers
2017,8,St. Pat's,1-0,Limerick FC
2017,8,Sligo Rovers,0-2,Dundalk FC
2017,8,Cork City,4-2,Derry City
2017,9,Shamrock Rovers,1-0,Sligo Rovers
2017,9,Limerick FC,0-2,Waterford FC
2017,9,Dundalk FC,3-0,Bohemians
2017,9,Derry City,2-1,St. Pat's
2017,9,Bray Wanderers,0-4,Cork City
2017,10,Dundalk FC,2-1,Shamrock Rovers
2017,10,Waterford FC,2-1,Cork City
2017,10,Bohemians,0-0,Limerick FC
2017,10,St. Pat's,5-0,Bray Wanderers
2017,10,Sligo Rovers,0-2,Derry City
2017,11,Derry City,1-0,Waterford FC
2017,11,Limerick FC,1-2,Sligo Rovers
2017,11,Shamrock Rovers,1-2,Bohemians
2017,11,Cork City,1-0,St. Pat's
2017,11,Bray Wanderers,0-2,Dundalk FC
2017,12,Bray Wanderers,1-0,Shamrock Rovers
2017,12,Derry City,3-1,Bohemians
2017,12,St. Pat's,1-0,Waterford FC
2017,12,Cork City,1-0,Sligo Rovers
2017,12,Limerick FC,0-3,Dundalk FC
2017,13,Sligo Rovers,0-0,St. Pat's
2017,13,Shamrock Rovers,1-1,Limerick FC
2017,13,Bohemians,0-2,Cork City
2017,13,Dundalk FC,2-2,Derry City
2017,13,Waterford FC,3-0,Bray Wanderers
2017,14,Cork City,1-0,Dundalk FC
2017,14,St. Pat's,2-2,Bohemians
2017,14,Bray Wanderers,0-1,Limerick FC
2017,14,Waterford FC,1-1,Sligo Rovers
2017,14,Derry City,0-0,Shamrock Rovers
2017,15,Limerick FC,0-3,Derry City
