Season,Matchday,Home Team,Score,Away Team
2002,1,Derry City,2-3,Longford Town
2002,1,Waterford Utd,0-4,Shelbourne
2002,1,Bohemians,1-0,UCD
2002,1,Shamrock Rovers,0-0,Drogheda United
2002,1,Cork City,0-0,St. Pat's
2002,2,St. Pat's,1-1,Shamrock Rovers
2002,2,Drogheda United,1-3,Waterford Utd
2002,2,UCD,0-3,Cork City
2002,2,Shelbourne,1-0,Derry City
2002,2,Longford Town,1-1,Bohemians
2002,3,Shelbourne,3-2,Longford Town
2002,3,Cork City,3-2,Bohemians
2002,3,Waterford Utd,4-2,St. Pat's
2002,3,Shamrock Rovers,1-0,UCD
2002,3,Derry City,0-1,Drogheda United
2002,4,St. Pat's,4-1,Derry City
2002,4,UCD,1-2,Waterford Utd
2002,4,Drogheda United,1-1,Shelbourne
2002,4,Longford Town,0-3,Cork City
2002,4,Bohemians,1-1,Shamrock Rovers
2002,5,Shamrock Rovers,2-1,Cork City
2002,5,Shelbourne,2-2,St. Pat's
2002,5,Derry City,1-0,UCD
2002,5,Waterford Utd,1-3,Bohemians
2002,5,Drogheda United,2-2,Longford Town
2002,6,UCD,0-2,Shelbourne
2002,6,Bohemians,1-1,Derry City
2002,6,Cork City,1-1,Waterford Utd
2002,6,St. Pat's,3-1,Drogheda United
2002,6,Longford Town,0-0,Shamrock Rovers
2002,7,Drogheda United,2-0,UCD
2002,7,Shelbourne,2-2,Bohemians
2002,7,St. Pat's,1-1,Longford Town
2002,7,Derry City,1-0,Cork City
2002,7,Waterford Utd,2-0,Shamrock Rovers
2002,8,Waterford Utd,1-1,Longford Town
2002,8,UCD,0-0,St. Pat's
2002,8,Bohemians,1-0,Drogheda United
2002,8,Cork City,0-0,Shelbourne
2002,8,Shamrock Rovers,5-1,Derry City
2002,9,Longford Town,2-1,UCD
2002,9,St. Pat's,1-0,Bohemians
2002,9,Drogheda United,3-1,Cork City
2002,9,Derry City,4-1,Waterford Utd
2002,9,Shelbourne,1-0,Shamrock Rovers
2002,10,Shelbourne,1-1,Waterford Utd
2002,10,UCD,2-1,Bohemians
2002,10,St. Pat's,1-1,Cork City
2002,10,Drogheda United,1-2,Shamrock Rovers
2002,10,Longford Town,4-0,Derry City
2002,11,Bohemians,1-1,Longford Town
2002,11,Shamrock Rovers,1-0,St. Pat's
2002,11,Cork City,1-0,UCD
2002,11,Waterford Utd,2-1,Drogheda United
2002,11,Derry City,2-0,Shelbourne
2002,12,Bohemians,1-1,Cork City
2002,12,St. Pat's,4-1,Waterford Utd
2002,12,Longford Town,0-2,Shelbourne
