Season,Matchday,Home Team,Score,Away Team
2014,1,Dundalk FC,1-0,Longford Town
2014,1,Galway United,1-2,Derry City
2014,1,Shamrock Rovers,1-0,St. Pat's
2014,1,Bray Wanderers,0-1,Drogheda United
2014,1,Limerick FC,0-3,Bohemians
2014,1,Sligo Rovers,1-1,Cork City
2014,2,Cork City,5-0,Limerick FC
2014,2,St. Pat's,3-0,Bray Wanderers
2014,2,Bohemians,2-0,Galway United
2014,2,Drogheda United,3-2,Sligo Rovers
2014,2,Derry City,0-1,Dundalk FC
2014,2,Longford Town,0-2,Shamrock Rovers
2014,3,Sligo Rovers,1-1,Derry City
2014,3,Limerick FC,2-2,Longford Town
2014,3,Bray Wanderers,0-1,Bohemians
2014,3,Dundalk FC,3-0,St. Pat's
2014,3,Galway United,1-0,Drogheda United
2014,3,Shamrock Rovers,0-0,Cork City
2014,4,Drogheda United,1-1,Limerick FC
2014,4,Sligo Rovers,1-2,Shamrock Rovers
2014,4,Cork City,2-0,Galway United
2014,4,St. Pat's,2-0,Derry City
2014,4,Bohemians,0-3,Dundalk FC
2014,4,Longford Town,2-0,Bray Wanderers
2014,5,Bray Wanderers,0-1,Cork City
2014,5,Limerick FC,1-2,St. Pat's
2014,5,Shamrock Rovers,0-0,Bohemians
2014,5,Derry City,3-0,Drogheda United
2014,5,Dundalk FC,3-0,Sligo Rovers
2014,5,Galway United,1-2,Longford Town
2014,6,Sligo Rovers,1-3,Bray Wanderers
2014,6,Drogheda United,0-1,Bohemians
2014,6,Cork City,3-0,Derry City
2014,6,Shamrock Rovers,3-0,Galway United
2014,6,Limerick FC,1-1,Dundalk FC
2014,6,Longford Town,2-2,St. Pat's
2014,7,Dundalk FC,1-0,Drogheda United
2014,7,Bray Wanderers,4-0,Limerick FC
2014,7,Derry City,0-0,Shamrock Rovers
2014,7,St. Pat's,0-0,Cork City
2014,7,Bohemians,2-0,Longford Town
2014,7,Galway United,0-1,Sligo Rovers
2014,8,Galway United,3-2,Limerick FC
2014,8,Drogheda United,1-2,Cork City
2014,8,Derry City,0-0,Bray Wanderers
2014,8,Longford Town,1-1,Sligo Rovers
2014,8,Bohemians,0-1,St. Pat's
2014,8,Shamrock Rovers,2-2,Dundalk FC
2014,9,Limerick FC,0-2,Derry City
2014,9,Dundalk FC,3-0,Galway United
2014,9,Bray Wanderers,0-3,Shamrock Rovers
2014,9,Cork City,2-0,Longford Town
2014,9,St. Pat's,2-2,Drogheda United
2014,9,Sligo Rovers,0-0,Bohemians
2014,10,Cork City,1-2,Dundalk FC
2014,10,St. Pat's,3-0,Sligo Rovers
2014,10,Drogheda United,0-3,Longford Town
2014,10,Derry City,1-2,Bohemians
2014,10,Bray Wanderers,0-5,Galway United
2014,10,Limerick FC,1-1,Shamrock Rovers
2014,11,Bohemians,1-1,Cork City
2014,11,Dundalk FC,8-1,Bray Wanderers
2014,11,Sligo Rovers,1-1,Limerick FC
2014,11,Shamrock Rovers,1-0,Drogheda United
2014,11,Galway United,1-4,St. Pat's
2014,11,Longford Town,0-0,Derry City
2014,12,Bohemians,2-1,Limerick FC
2014,12,Drogheda United,4-2,Bray Wanderers
2014,12,Derry City,0-2,Galway United
2014,12,Cork City,3-2,Sligo Rovers
2014,12,Longford Town,0-2,Dundalk FC
2014,12,St. Pat's,0-0,Shamrock Rovers
2014,13,Limerick FC,0-1,Cork City
2014,13,Sligo Rovers,2-0,Drogheda United
2014,13,Bray Wanderers,1-0,St. Pat's
2014,13,Dundalk FC,1-0,Derry City
2014,13,Galway United,5-3,Bohemians
2014,13,Shamrock Rovers,3-2,Longford Town
2014,14,Cork City,0-0,Shamrock Rovers
2014,14,St. Pat's,0-2,Dundalk FC
2014,14,Bohemians,0-0,Bray Wanderers
2014,14,Drogheda United,2-0,Galway United
2014,14,Derry City,1-1,Sligo Rovers
2014,14,Longford Town,1-0,Limerick FC
2014,15,Derry City,0-3,St. Pat's
2014,15,Galway United,1-3,Cork City
2014,15,Limerick FC,1-2,Drogheda United
2014,15,Bray Wanderers,0-1,Longford Town
2014,15,Dundalk FC,1-2,Bohemians
2014,15,Shamrock Rovers,5-1,Sligo Rovers
2014,16,Sligo Rovers,1-2,Dundalk FC
2014,16,Drogheda United,1-1,Derry City
2014,16,Cork City,1-0,Bray Wanderers
2014,16,Bohemians,3-1,Shamrock Rovers
2014,16,Longford Town,0-1,Galway United
2014,16,St. Pat's,3-1,Limerick FC
2014,17,St. Pat's,3-0,Longford Town
2014,17,Bray Wanderers,1-0,Sligo Rovers
2014,17,Derry City,0-2,Cork City
2014,17,Dundalk FC,6-2,Limerick FC
2014,17,Galway United,1-2,Shamrock Rovers
2014,17,Bohemians,0-1,Drogheda United
2014,18,Shamrock Rovers,4-1,Derry City
2014,18,Drogheda United,1-2,Dundalk FC
