Season,Matchday,Home Team,Score,Away Team
2016,1,St. Pat's,1-2,Bray Wanderers
2016,1,Bohemians,1-4,Derry City
2016,1,Limerick FC,5-1,Sligo Rovers
2016,1,Galway United,0-1,Drogheda United
2016,1,Finn Harps,0-1,Cork City
2016,1,Dundalk FC,2-1,Shamrock Rovers
2016,2,Shamrock Rovers,2-1,Bohemians
2016,2,Bray Wanderers,5-3,Finn Harps
2016,2,Drogheda United,2-0,St. Pat's
2016,2,Cork City,4-0,Galway United
2016,2,Sligo Rovers,0-4,Dundalk FC
2016,2,Derry City,1-1,Limerick FC
2016,3,Finn Harps,1-1,Galway United
2016,3,Drogheda United,1-4,Cork City
2016,3,Shamrock Rovers,0-1,Derry City
2016,3,Bohemians,3-2,Bray Wanderers
2016,3,Dundalk FC,1-0,Limerick FC
2016,3,Sligo Rovers,1-1,St. Pat's
2016,4,Galway United,1-2,Shamrock Rovers
2016,4,Derry City,3-1,Dundalk FC
2016,4,St. Pat's,1-2,Finn Harps
2016,4,Cork City,2-1,Sligo Rovers
2016,4,Limerick FC,0-1,Bohemians
2016,4,Bray Wanderers,2-1,Drogheda United
2016,5,Dundalk FC,3-0,St. Pat's
2016,5,Sligo Rovers,3-2,Bray Wanderers
2016,5,Derry City,4-0,Drogheda United
2016,5,Bohemians,1-1,Galway United
2016,5,Shamrock Rovers,1-2,Cork City
2016,5,Limerick FC,1-1,Finn Harps
2016,6,Cork City,2-1,Dundalk FC
2016,6,St. Pat's,2-1,Shamrock Rovers
2016,6,Drogheda United,0-1,Bohemians
2016,6,Bray Wanderers,0-1,Limerick FC
2016,6,Finn Harps,2-1,Sligo Rovers
2016,6,Galway United,0-0,Derry City
2016,7,Limerick FC,0-3,Cork City
2016,7,Galway United,1-1,Sligo Rovers
2016,7,Shamrock Rovers,3-2,Finn Harps
2016,7,Derry City,2-3,Bray Wanderers
2016,7,Dundalk FC,3-1,Drogheda United
2016,7,Bohemians,0-4,St. Pat's
2016,8,Finn Harps,0-2,Dundalk FC
2016,8,Cork City,3-0,Derry City
2016,8,St. Pat's,0-2,Limerick FC
2016,8,Drogheda United,2-1,Shamrock Rovers
2016,8,Bray Wanderers,1-0,Galway United
2016,8,Sligo Rovers,2-0,Bohemians
2016,9,Shamrock Rovers,1-0,Sligo Rovers
2016,9,Limerick FC,3-0,Drogheda United
2016,9,Dundalk FC,1-3,Bray Wanderers
2016,9,Bohemians,0-2,Cork City
2016,9,Galway United,1-1,St. Pat's
2016,9,Derry City,0-2,Finn Harps
2016,10,Bray Wanderers,4-2,Shamrock Rovers
2016,10,Limerick FC,1-1,Galway United
2016,10,St. Pat's,0-3,Cork City
2016,10,Dundalk FC,2-0,Bohemians
2016,10,Finn Harps,0-2,Drogheda United
2016,10,Sligo Rovers,1-1,Derry City
2016,11,Shamrock Rovers,1-1,Limerick FC
2016,11,Drogheda United,1-1,Sligo Rovers
2016,11,Bohemians,2-0,Finn Harps
2016,11,Cork City,2-1,Bray Wanderers
2016,11,Derry City,2-2,St. Pat's
2016,11,Galway United,2-1,Dundalk FC
2016,12,Cork City,5-0,Finn Harps
2016,12,Derry City,2-0,Bohemians
2016,12,Bray Wanderers,1-1,St. Pat's
2016,12,Drogheda United,2-2,Galway United
2016,12,Shamrock Rovers,2-1,Dundalk FC
2016,12,Sligo Rovers,3-0,Limerick FC
2016,13,Finn Harps,0-3,Bray Wanderers
2016,13,Limerick FC,1-1,Derry City
2016,13,Galway United,1-1,Cork City
2016,13,Bohemians,0-2,Shamrock Rovers
2016,13,Dundalk FC,4-0,Sligo Rovers
2016,13,St. Pat's,2-0,Drogheda United
2016,14,Limerick FC,0-3,Dundalk FC
2016,14,Derry City,3-1,Shamrock Rovers
2016,14,Cork City,5-0,Drogheda United
2016,14,St. Pat's,1-1,Sligo Rovers
2016,14,Bray Wanderers,1-2,Bohemians
2016,14,Galway United,2-1,Finn Harps
2016,15,Shamrock Rovers,2-0,Galway United
2016,15,Sligo Rovers,1-2,Cork City
2016,15,Finn Harps,3-1,St. Pat's
2016,15,Dundalk FC,0-0,Derry City
2016,15,Drogheda United,0-0,Bray Wanderers
2016,15,Bohemians,1-2,Limerick FC
2016,16,Bray Wanderers,2-2,Sligo Rovers
2016,16,St. Pat's,0-2,Dundalk FC
2016,16,Galway United,1-2,Bohemians
2016,16,Drogheda United,0-0,Derry City
2016,16,Cork City,4-1,Shamrock Rovers
2016,16,Finn Harps,3-2,Limerick FC
2016,17,Limerick FC,5-3,Bray Wanderers
2016,17,Shamrock Rovers,1-1,St. Pat's
2016,17,Bohemians,0-0,Drogheda United
2016,17,Sligo Rovers,0-0,Finn Harps
2016,17,Derry City,2-1,Galway United
2016,17,Dundalk FC,0-3,Cork City
2016,18,Bray Wanderers,3-2,Derry City
2016,18,St. Pat's,1-3,Bohemians
2016,18,Drogheda United,0-6,Dundalk FC
2016,18,Cork City,4-1,Limerick FC
2016,18,Finn Harps,0-1,Shamrock Rovers
2016,18,Sligo Rovers,1-1,Galway United
2016,19,Limerick FC,2-2,St. Pat's
2016,19,Dundalk FC,4-0,Finn Harps
2016,19,Shamrock Rovers,4-1,Drogheda United
2016,19,Bohemians,2-0,Sligo Rovers
2016,19,Derry City,1-2,Cork City
2016,19,Galway United,1-2,Bray Wanderers
2016,20,Bray Wanderers,0-3,Dundalk FC
2016,20,St. Pat's,1-1,Galway United
2016,20,Drogheda United,0-2,Limerick FC
2016,20,Sligo Rovers,1-0,Shamrock Rovers
2016,20,Finn Harps,0-2,Derry City
2016,20,Cork City,0-1,Bohemians
2016,21,Cork City,1-0,St. Pat's
2016,21,Derry City,4-0,Sligo Rovers
2016,21,Drogheda United,0-2,Finn Harps
2016,21,Galway United,3-1,Limerick FC
2016,21,Bohemians,0-1,Dundalk FC
2016,21,Shamrock Rovers,2-0,Bray Wanderers
2016,22,Dundalk FC,2-0,Galway United
2016,22,St. Pat's,2-1,Derry City
2016,22,Finn Harps,2-1,Bohemians
2016,22,Sligo Rovers,1-1,Drogheda United
