Season,Matchday,Home Team,Score,Away Team
1998,1,Waterford Utd,0-2,Bohemians
1998,1,Drogheda United,0-4,Shamrock Rovers
1998,1,St. Pat's,1-2,Derry City
1998,1,Shelbourne,1-1,Galway United
1998,1,Sligo Rovers,1-2,UCD
1998,1,Finn Harps,1-2,Cork City
1998,2,Bohemians,0-1,Shelbourne
1998,2,Galway United,1-1,Drogheda United
1998,2,UCD,2-2,St. Pat's
1998,2,Cork City,0-1,Sligo Rovers
1998,2,Derry City,3-0,Waterford Utd
1998,2,Shamrock Rovers,3-1,Finn Harps
1998,3,Derry City,1-0,Shamrock Rovers
1998,3,St. Pat's,2-1,Finn Harps
1998,3,Galway United,1-4,Cork City
1998,3,Drogheda United,0-2,Bohemians
1998,3,Shelbourne,0-0,UCD
1998,3,Waterford Utd,1-0,Sligo Rovers
1998,4,Bohemians,3-0,Derry City
1998,4,Sligo Rovers,1-1,Drogheda United
1998,4,Cork City,1-0,St. Pat's
1998,4,Finn Harps,0-1,Shelbourne
1998,4,Shamrock Rovers,1-0,Waterford Utd
1998,4,UCD,0-2,Galway United
1998,5,Bohemians,1-3,Shamrock Rovers
1998,5,Derry City,0-2,Drogheda United
1998,5,Sligo Rovers,0-1,St. Pat's
1998,5,Waterford Utd,1-2,Galway United
1998,5,Shelbourne,3-2,Cork City
1998,5,UCD,1-0,Finn Harps
1998,6,Drogheda United,1-1,Waterford Utd
1998,6,Galway United,1-2,Bohemians
1998,6,St. Pat's,1-1,Shelbourne
1998,6,Finn Harps,1-1,Derry City
1998,6,Shamrock Rovers,4-1,Sligo Rovers
1998,6,Cork City,1-0,UCD
1998,7,Sligo Rovers,2-4,Shelbourne
1998,7,Derry City,0-2,UCD
1998,7,Shamrock Rovers,2-1,Galway United
1998,7,Drogheda United,3-2,Finn Harps
1998,7,Bohemians,0-0,St. Pat's
1998,7,Waterford Utd,1-3,Cork City
1998,8,St. Pat's,1-0,Waterford Utd
1998,8,Shelbourne,1-0,Drogheda United
1998,8,Finn Harps,2-1,Sligo Rovers
1998,8,UCD,3-0,Shamrock Rovers
1998,8,Galway United,0-2,Derry City
1998,8,Cork City,1-1,Bohemians
1998,9,Shamrock Rovers,1-3,Cork City
1998,9,UCD,0-2,Bohemians
1998,9,Derry City,1-3,Sligo Rovers
1998,9,Drogheda United,1-2,St. Pat's
1998,9,Galway United,1-3,Finn Harps
1998,9,Waterford Utd,0-0,Shelbourne
1998,10,Shelbourne,2-0,Derry City
1998,10,UCD,2-2,Waterford Utd
1998,10,Finn Harps,0-1,Bohemians
1998,10,Sligo Rovers,1-0,Galway United
1998,10,Cork City,3-0,Drogheda United
1998,10,St. Pat's,1-1,Shamrock Rovers
1998,11,Bohemians,3-2,Sligo Rovers
1998,11,Waterford Utd,2-3,Finn Harps
1998,11,Derry City,1-0,Cork City
1998,11,Galway United,1-2,St. Pat's
1998,11,Drogheda United,0-1,UCD
1998,11,Shamrock Rovers,1-1,Shelbourne
1998,12,Bohemians,0-2,Waterford Utd
1998,12,Galway United,0-0,Shelbourne
1998,12,UCD,1-1,Sligo Rovers
1998,12,Derry City,0-3,St. Pat's
1998,12,Shamrock Rovers,4-1,Drogheda United
1998,12,Cork City,2-0,Finn Harps
1998,13,Sligo Rovers,0-5,Cork City
1998,13,Waterford Utd,2-2,Derry City
1998,13,St. Pat's,0-0,UCD
1998,13,Drogheda United,3-1,Galway United
1998,13,Shelbourne,1-0,Bohemians
1998,13,Finn Harps,1-0,Shamrock Rovers
1998,14,Bohemians,2-1,Drogheda United
1998,14,UCD,0-2,Shelbourne
1998,14,Sligo Rovers,1-0,Waterford Utd
1998,14,Finn Harps,1-1,St. Pat's
1998,14,Cork City,3-0,Galway United
1998,14,Shamrock Rovers,3-0,Derry City
1998,15,St. Pat's,2-0,Cork City
1998,15,Shelbourne,1-1,Finn Harps
1998,15,Waterford Utd,0-0,Shamrock Rovers
1998,15,Drogheda United,1-1,Sligo Rovers
1998,15,Galway United,2-1,UCD
1998,15,Derry City,0-0,Bohemians
1998,16,Galway United,0-0,Waterford Utd
1998,16,Drogheda United,1-2,Derry City
1998,16,Shamrock Rovers,0-1,Bohemians
1998,16,St. Pat's,3-2,Sligo Rovers
1998,16,Finn Harps,0-0,UCD
1998,16,Cork City,1-2,Shelbourne
1998,17,UCD,2-2,Cork City
1998,17,Derry City,2-0,Finn Harps
1998,17,Bohemians,1-3,Galway United
1998,17,Sligo Rovers,3-5,Shamrock Rovers
1998,17,Waterford Utd,1-0,Drogheda United
1998,17,Shelbourne,1-0,St. Pat's
1998,18,Galway United,0-3,Shamrock Rovers
1998,18,St. Pat's,1-3,Bohemians
1998,18,Shelbourne,1-0,Sligo Rovers
1998,18,Finn Harps,0-0,Drogheda United
1998,18,Cork City,0-0,Waterford Utd
1998,18,UCD,1-0,Derry City
1998,19,Shamrock Rovers,0-0,UCD
1998,19,Bohemians,3-0,Cork City
1998,19,Waterford Utd,3-1,St. Pat's
1998,19,Drogheda United,0-0,Shelbourne
1998,19,Derry City,2-0,Galway United
1998,19,Sligo Rovers,1-1,Finn Harps
1998,20,Bohemians,1-0,UCD
1998,20,Cork City,2-0,Shamrock Rovers
1998,20,St. Pat's,1-0,Drogheda United
1998,20,Finn Harps,1-2,Galway United
1998,20,Shelbourne,1-0,Waterford Utd
1998,20,Sligo Rovers,2-0,Derry City
1998,21,Waterford Utd,0-2,UCD
1998,21,Drogheda United,0-0,Cork City
1998,21,Derry City,1-0,Shelbourne
1998,21,Shamrock Rovers,2-1,St. Pat's
1998,21,Galway United,5-0,Sligo Rovers
1998,21,Bohemians,1-0,Finn Harps
1998,22,St. Pat's,3-0,Galway United
1998,22,Shelbourne,3-0,Shamrock Rovers
1998,22,UCD,3-0,Drogheda United
1998,22,Finn Harps,4-0,Waterford Utd
1998,22,Sligo Rovers,0-0,Bohemians
1998,22,Cork City,0-0,Derry City
1998,23,Drogheda United,0-0,Shamrock Rovers
1998,23,Sligo Rovers,0-1,UCD
1998,23,Finn Harps,1-1,Cork City
1998,23,Waterford Utd,0-0,Bohemians
1998,23,Shelbourne,1-1,Galway United
1998,23,St. Pat's,1-1,Derry City
1998,24,Bohemians,1-1,Shelbourne
1998,24,Galway United,2-2,Drogheda United
1998,24,Shamrock Rovers,3-3,Finn Harps
1998,24,Cork City,0-0,Sligo Rovers
1998,24,UCD,2-1,St. Pat's
1998,24,Derry City,1-1,Waterford Utd
1998,25,Galway United,0-2,Cork City
1998,25,Shelbourne,2-1,UCD
1998,25,Derry City,0-0,Shamrock Rovers
1998,25,Drogheda United,0-3,Bohemians
1998,25,Waterford Utd,1-0,Sligo Rovers
1998,25,St. Pat's,1-0,Finn Harps
1998,26,Bohemians,0-0,Derry City
1998,26,Finn Harps,2-3,Shelbourne
1998,26,Shamrock Rovers,1-2,Waterford Utd
1998,26,Sligo Rovers,0-0,Drogheda United
1998,26,UCD,1-1,Galway United
1998,26,Cork City,1-1,St. Pat's
1998,27,UCD,1-1,Finn Harps
1998,27,Sligo Rovers,2-2,St. Pat's
1998,27,Derry City,2-1,Drogheda United
1998,27,Waterford Utd,0-0,Galway United
1998,27,Bohemians,0-0,Shamrock Rovers
1998,27,Shelbourne,4-0,Cork City
1998,28,St. Pat's,1-2,Shelbourne
1998,28,Cork City,1-1,UCD
1998,28,Finn Harps,1-2,Derry City
1998,28,Galway United,0-1,Bohemians
1998,28,Drogheda United,1-0,Waterford Utd
1998,28,Shamrock Rovers,4-2,Sligo Rovers
1998,29,Sligo Rovers,0-4,Shelbourne
1998,29,Derry City,2-0,UCD
1998,29,Shamrock Rovers,0-0,Galway United
1998,29,Drogheda United,0-2,Finn Harps
1998,29,Bohemians,0-1,St. Pat's
1998,29,Waterford Utd,2-2,Cork City
1998,30,St. Pat's,0-0,Waterford Utd
1998,30,Finn Harps,2-1,Sligo Rovers
1998,30,UCD,1-1,Shamrock Rovers
1998,30,Shelbourne,0-0,Drogheda United
1998,30,Galway United,2-1,Derry City
1998,30,Cork City,2-1,Bohemians
1998,31,Shamrock Rovers,1-2,Cork City
1998,31,Galway United,0-4,Finn Harps
1998,31,Derry City,0-0,Sligo Rovers
1998,31,Bohemians,1-2,UCD
1998,31,Waterford Utd,0-2,Shelbourne
1998,31,Drogheda United,0-3,St. Pat's
1998,32,Sligo Rovers,1-1,Galway United
1998,32,Cork City,3-1,Drogheda United
1998,32,UCD,2-1,Waterford Utd
1998,32,St. Pat's,0-0,Shamrock Rovers
1998,32,Shelbourne,2-2,Derry City
1998,32,Finn Harps,0-0,Bohemians
1998,33,Waterford Utd,1-0,Finn Harps
1998,33,Galway United,1-0,St. Pat's
1998,33,Bohemians,4-1,Sligo Rovers
1998,33,Shamrock Rovers,2-1,Shelbourne
1998,33,Derry City,1-4,Cork City
1998,33,Drogheda United,0-5,UCD
